Trajectory file for run 'run1'; etymon number :636:
#mˌɑlehˈɑbit̪um# >>> #majat̪# ( Correct : #malad̪#) :
m ˌɑ l e h ˈɑ b i t̪ u m 
#mˌɑlɛhˈɑbɪt̪ʊm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#mˌɑlɛˈɑbɪt̪ʊm# | Rule 13 : h > ∅ / @ __ 
#mˌɑljˈɑbɪt̪ʊm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#mˌɑlʝˈɑbɪt̪ʊm# | Rule 26 : j > ʝ / __ [+syl]
#mˌɑlʝˈɑβɪt̪ʊm# | Rule 48 : b > β / [+syl] __ [+son,-lat,-nas]
#mˌɑlʝˈɑβet̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#mˌɑlʝˈɑβet̪o# | Rule 70 : [+nas,+cons] > ∅ / [-stres] __ #
#mˌɑʎˈɑβet̪o# | Rule 93 : l ʝ > ʎ 
#mˌɑʎˈɑβt̪o# | Rule 96 : e > ∅ / __ [+distr] [+syl] ( [-syl] ) #
#mˌɑʎˈɑɸt̪o# | Rule 106 : [+ant,+cons,-son] > [-voi] / __ t̪
#mˌaʎˈaɸt̪o# | Rule 200 : [+lo] > [+front,-back] 
#mˌaʎˈaɸt̪ə# | Rule 271 : [-stres,-lo,+syl] > ə / __ #
#mˌaʎˈaɸt̪ə̯# | Rule 279 : ə > ə̯ 
#mˌaʎˈaɸt̪# | Rule 303 : ə̯ > ∅ 
#mˌaʎˈaɸt̪ə# | Rule 324 : ∅ > ə / [+cons,+lab] [+cor,-delrel] __ #
#mˌaʎˈat̪t̪ə# | Rule 336 : [+lab,-nas,-round,+cons] > t̪ / __ [-cont,+cor,-voi]
#mˌaʎˈat̪ə# | Rule 498 : [+cor,-delrel] > ∅ / __ [+cor,-cont]
#mˌaʎˈat̪ə̯# | Rule 713 : ə > ə̯ / __ #
#mˌaʎˈat̪# | Rule 731 : ə̯ > ∅ 
#maʎat̪# | Rule 747 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#majat̪# | Rule 756 : ʎ > j 
