Trajectory file for run 'run1'; etymon number :531:
#kwˈɑn̪t̪um# >>> #kɑ̃# ( Correct : #kɑ̃#) :
k w ˈɑ n̪ t̪ u m 
#kɣʷˈɑn̪t̪um# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#kwˈɑn̪t̪um# | Rule 6 : ɣʷ > w / [+back,+hi,+cons] __ 
#kwˈɑn̪t̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kwˈɑn̪t̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#kwˈɑn̪t̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#kwˈɑ?t̪o# | Rule 101 : [+ant,+cons] > [-voi] / __ t̪
#kwˈa?t̪o# | Rule 194 : [+lo,+syl] > [+front,-back] 
#kwˈa?t̪ə# | Rule 264 : [-stres,-lo,+syl] > ə / __ #
#kwˈa?t̪ə̯# | Rule 266 : ə > ə̯ 
#kwˈa?t̪# | Rule 300 : ə̯ > ∅ 
#kwˈã?t̪# | Rule 490 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#kˈã?t̪# | Rule 589 : [-syl,+round,+cont] > ∅ / [+back,-cont] __ 
#kˈãːt̪# | Rule 672 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#kˈãː# | Rule 692 : [-son] > ∅ / __ #
#kãː# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#kã# | Rule 706 : [+syl,+long] > [-long,-splng] 
#kɑ̃# | Rule 711 : {ã;ãː} > {ɑ̃;ɑ̃ː} 
