Trajectory file for run 'run1'; etymon number :1313:
#wˈet̪ulum# >>> #vjɛj# ( Correct : #vjɛj#) :
w ˈe t̪ u l u m 
#ɣʷˈet̪ulum# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɣʷˈɛt̪ʊlʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ɣʷˈɛt̪lʊm# | Rule 33 : {ʊ;o} > {∅;∅} / [+prim] ( [-syl] )* [-cont] __ [+lat] [+syl] ( [-syl] ) #
#βʷˈɛt̪lʊm# | Rule 50 : ɣʷ > βʷ 
#βʷˈɛt̪lom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#βʷˈɛklom# | Rule 69 : t̪ > k / __ [+lat]
#βʷˈɛklo# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#βʷˈɛːklo# | Rule 112 : [+prim] > [+long] / __ [-cont] [+cons,+son,-nas]
#βʷˈɛːxlo# | Rule 117 : [+hi,+back,-cont] > [+cont,.delrel] / [-cons] __ [+cor,+cons]
#βˈɛːxlo# | Rule 160 : {βʷ;ɸʷ} > {β;ɸ} 
#βˈie̯xlo# | Rule 168 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#βˈie̯çlo# | Rule 208 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#βˈie̯çʎo# | Rule 217 : [+lat] > ʎ / [+hi,+front,+cons] __ 
#βˈie̯ʎo# | Rule 247 : [+hi,+front,-lat,-syl] > ∅ / __ ʎ
#βˈie̯ʎə# | Rule 272 : [-stres,-lo,+syl] > ə / __ #
#βˈie̯ʎə̯# | Rule 274 : ə > ə̯ 
#βˈie̯ʎ# | Rule 309 : ə̯ > ∅ 
#vˈie̯ʎ# | Rule 438 : β > v 
#vjˈeʎ# | Rule 587 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#vjˈɛʎ# | Rule 603 : ˈe > ˈɛ 
#vjɛʎ# | Rule 723 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#vjɛj# | Rule 731 : ʎ > j 
