Trajectory file for run 'run1'; etymon number :366:
#ˌin̪kˈɑn̪t̪ɑːmˈen̪t̪um# >>> #ɑ̃ːʃɑ̃ːt̪ə̃mɑ̃ː# ( Correct : #ɑ̃ʃɑ̃t̪əmɑ̃#) :
ˌi n̪ k ˈɑ n̪ t̪ ɑː m ˈe n̪ t̪ u m 
#ˌiŋkˈɑn̪t̪ɑːmˈen̪t̪um# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont] (ORIG: n̪ > ŋ / __ [+hi,+back,-cont] )
#ˌɪŋkˈɑn̪t̪ɑːmˈɛn̪t̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat]  (ORIG: [+syl,-lo,-long] > [-tense] )
#ˌɪŋkˈɑn̪t̪ɑmˈɛn̪t̪ʊm# | Rule 48 : [+syl,+long] > [-long,-splng]  (ORIG: [+syl,+long] > [-long] )
#ˌeŋkˈɑn̪t̪ɑmˈɛn̪t̪om# | Rule 50 : [+hi,-tense] > [-hi,+tense,-cons,-lat]  (ORIG: [+hi,-tense] > [-hi,+tense]  )
#ˌeŋkˈɑn̪t̪ɑmˈɛn̪t̪o# | Rule 55 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ # (ORIG: m > ∅ / [+syl] ([-syl])* [+syl] __ # )
#ˌɑŋkˈɑn̪t̪ɑmˈɛn̪t̪o# | Rule 69 : {ˌe;ˌɛ} > {ˌɑ;ˌɑ} / __ ( [-syl] )* [+lo,+prim] (ORIG: {ˌe;ˌɛ} > {ˌɑ;ˌɑ} / __ ([-syl])* [+lo,+prim] )
#ˌaŋkˈan̪t̪amˈɛn̪t̪o# | Rule 129 : [+lo,+syl] > [+front,-back]  (ORIG: [+lo,+syl] > [+front,-back] )
#ˌaŋkʲˈan̪t̪amˈɛn̪t̪o# | Rule 158 : [+hi,+back,+cons] > [+front] / __ [+front,+syl] (ORIG: [+hi,+back,+cons] > [+front] / __ [+front,+syl]  )
#ˌaŋcˈan̪t̪amˈɛn̪t̪o# | Rule 167 : [+back,+front] > [-back]  (ORIG: [+back,+front] > [-back]  )
#ˌaŋt͡ʃˈan̪t̪amˈɛn̪t̪o# | Rule 216 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son]  (ORIG: [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr] )
#ˌaŋt͡ʃˈan̪t̪amˈɛn̪t̪ə# | Rule 229 : [-stres,-lo,+syl] > ə  (ORIG: [-stres,-lo,+syl] > ə )
#ˌaŋt͡ʃˈan̪t̪amˈɛn̪t̪# | Rule 235 : ə > ∅  (ORIG: ə > ∅ )
#ˌaŋt͡ʃˈan̪t̪əmˈɛn̪t̪# | Rule 239 : a > ə / [+syl] ( [-syl] )* __  (ORIG: a > ə / [+syl] ([-syl])* __ )
#ˌãŋt͡ʃˈãn̪t̪əmˈɛn̪t̪# | Rule 300 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl] (ORIG: [+lo,+syl] > [+nas] / __ [+nas,-syl] )
#ˌãŋt͡ʃˈãn̪t̪əmˈɛ̃n̪t̪# | Rule 302 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl] (ORIG: [+front,-hi,+syl] > [+nas] / __ [+nas,-syl] )
#ˌãŋt͡ʃˈãn̪t̪əmˈæ̃n̪t̪# | Rule 330 : [+nas,-hi,+syl] > [+lo]  (ORIG: [+nas,-hi,+syl] > [+lo] )
#ˌãŋt͡ʃˈãn̪t̪ə̃mˈæ̃n̪t̪# | Rule 351 : [-cons,-front] > [+nas,+son,.delrel] / __ [+nas] (ORIG: [-cons,-front] > [+nas] / __ [+nas] )
#ˌãŋt͡ʃˈãn̪t̪əmˈæ̃n̪t̪# | Rule 367 : ə̃ > ə  (ORIG: ə̃ > ə  )
#ˌãŋʃˈãn̪t̪əmˈæ̃n̪t̪# | Rule 376 : [+delrel] > [+cont,.delrel]  (ORIG: [+delrel] > [+cont] )
#ˌãŋʃˈãn̪t̪ə̃mˈæ̃n̪t̪# | Rule 379 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas,+cons] (ORIG: [+syl,-hi] > [+nas] / __ [+nas,+cons] )
#ˌãːʃˈãːt̪ə̃mˈæ̃ːt̪# | Rule 432 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons] (ORIG: [+nas,+syl] [+nas,+cons] > [+long] ∅ / __ [+cons] )
#ˌãːʃˈãːt̪ə̃mˈæ̃ː# | Rule 448 : [-son] > ∅ / __ # (ORIG: [-son] > ∅ / __ # )
#ˌãːʃˈãːt̪ə̃mˈãː# | Rule 450 : [+nas,+front,+syl] > [-hi,+tense,-cons,-lat]  (ORIG: [+nas,+front,+syl] > [-hi,+tense] )
#ãːʃãːt̪ə̃mãː# | Rule 459 : [+stres] > [-stres,-prim,+syl,+son,.delrel]  (ORIG: [+stres] > [-stres] )
#ɑ̃ːʃɑ̃ːt̪ə̃mɑ̃ː# | Rule 464 : {ã;ãː} > {ɑ̃;ɑ̃ː}  (ORIG: {ã;ãː} >[-front,+back] )
