Trajectory file for run 'run1'; etymon number :686:
#mˌen̪t̪iˈoːn̪ikɑm# >>> #mie̯n̪sɔ̃n̪wa# ( Correct : #mɑ̃sɔ̃ʒ#) :
m ˌe n̪ t̪ i ˈoː n̪ i k ɑ m 
#mˌɛn̪t̪ɪˈoːn̪ɪkɑm# | Rule 11 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#mˌɛn̪t̪jˈoːn̪ɪkɑm# | Rule 20 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#mˌɛn̪t̪ʝˈoːn̪ɪkɑm# | Rule 23 : j > ʝ / __ [+syl]
#mˌɛn̪t̪ʝˈon̪ɪkɑm# | Rule 46 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#mˌɛn̪t̪ʝˈon̪ekɑm# | Rule 49 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#mˌɛn̪t̪ʝˈon̪ekɑ# | Rule 54 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#mˌɛn̪t͡sʲʝˈon̪ekɑ# | Rule 57 : {t̪;d̪} > {t͡sʲ;ɟ} / __ [+hi,+front,-syl,+cont]
#mˌɛn̪t͡sʲˈon̪ekɑ# | Rule 62 : ʝ > ∅ / [-cont,+hi,+front] __ 
#mˌɛn̪t͡sʲˈoːn̪ekɑ# | Rule 73 : [+prim] > [+long] / __ [+cons] [-cons]
#mˌɛn̪t͡sʲˈoːn̪eɡɑ# | Rule 94 : k > ɡ / [-cons] __ [+syl]
#mˌɛn̪t͡sʲˈoːn̪eɣɑ# | Rule 95 : ɡ > ɣ / [-cons] __ [-cons]
#mˌɛn̪t͡sʲˈoːn̪eɣa# | Rule 141 : [+lo,+syl] > [+front,-back] 
#mˌie̯n̪t͡sʲˈoːn̪eɣa# | Rule 175 : {ɛ;ˌɛ;ˈɛ;ˈɛː;ɔ;ˌɔ;ˈɔ;ˈɔː} > {i e̯;ˌi e̯;ˈi e̯;ˈi e̯;u o̯;ˌu o̯;ˈu o̯;ˈu o̯} / __ [+cons,+cor] [+cons,+hi,+front]
#mˌie̯n̪t͡sʲˈoːn̪eɣʲa# | Rule 176 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#mˌie̯n̪t͡sʲˈoːn̪eɣʲɛ# | Rule 177 : [+lo,+syl] > [-lo,+front,-tense,-cons,-lat,+cont,.delrel] / [+front,+cons] __ #
#mˌie̯n̪t͡sʲˈoːn̪eʝɛ# | Rule 185 : [+back,+front] > [-back] 
#mˌie̯n̪t͡sʲˈoːn̪əʝɛ# | Rule 193 : [+syl,-stres] > ə / __ ( [-syl] )* [+syl] ( [-syl] )* #
#mˌie̯n̪t͡sʲˈoːn̪əʝə# | Rule 195 : [-stres,-lo,+syl] > ə 
#mˌie̯n̪t͡sʲˈoːn̪ə̯ʝə̯# | Rule 196 : ə > ə̯ 
#mˌie̯n̪t͡sʲˈoːn̪əʝə̯# | Rule 199 : ə̯ > ə / __ [+front,+cons]
#mˌie̯n̪t͡sʲˈoːn̪əʝ# | Rule 208 : ə̯ > ∅ 
#mˌie̯n̪t͡sʲˈuːn̪əʝ# | Rule 250 : [+syl,-hi,-lo,+round] > [+hi,+tense,-cons,-lat,+cont,.delrel] / __ [+nas,+cons]
#mˌie̯n̪t͡sʲˈuːn̪əç# | Rule 283 : [-son] > [-voi] / __ #
#mˌie̯n̪t͡sʲˈuːn̪əʝ# | Rule 297 : ç > ʝ 
#mˌie̯n̪t͡sʲˈuːn̪əj# | Rule 299 : ʝ > j / [-cons] __ 
#mˌie̯n̪t͡sʲˈuːn̪ej# | Rule 338 : ə > e / __ [+front,+son,+hi,-syl]
#mˌie̯n̪t͡sˈuːn̪ej# | Rule 339 : t͡sʲ > t͡s 
#mˌie̯n̪t͡sˈuːn̪oj# | Rule 359 : [+front,+tense,-hi,-lo,+syl] > [+back,-front,+round,+lab] / __ j
#mˌie̯n̪t͡sˈuːn̪uj# | Rule 363 : [+round,+tense,+back] > [+hi] 
#mˌie̯n̪t͡sˈũːn̪uj# | Rule 399 : [+syl,-front] > [+nas,+son,.delrel] / __ [+nas]
#mˌie̯n̪t͡sˈũːn̪uɛ̯# | Rule 405 : j > ɛ̯ / [+syl,+back,+round] __ 
#mˌie̯n̪t͡sˈũːn̪wɛ# | Rule 408 : {u ɛ̯;ˌu ɛ̯;ˈu ɛ̯;ɔ ɛ̯;ˌɔ ɛ̯;ˈɔ ɛ̯} > {w ɛ;w ˌɛ;w ˈɛ;w ɛ;w ˌɛ;w ˈɛ} 
#mˌie̯n̪sˈũːn̪wɛ# | Rule 423 : [+delrel] > [+cont,.delrel] 
#mie̯n̪sũːn̪wɛ# | Rule 511 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#mie̯n̪sũn̪wɛ# | Rule 512 : [+syl,+long] > [-long,-splng] 
#mie̯n̪sɔ̃n̪wɛ# | Rule 513 : [+back,-lo,+nas,+syl] > ɔ̃ 
#mie̯n̪sɔ̃n̪wa# | Rule 516 : ɛ > a / w __ 
