Trajectory file for run 'run1'; etymon number :686:
#mˌen̪t̪iˈoːn̪ikɑm# >>> #mɑ̃sɔ̃ʃ# ( Correct : #mɑ̃sɔ̃ʒ#) :
m ˌe n̪ t̪ i ˈoː n̪ i k ɑ m 
#mˌɛn̪t̪ɪˈoːn̪ɪkɑm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#mˌɛn̪t̪jˈoːn̪ɪkɑm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#mˌɛn̪t̪ʝˈoːn̪ɪkɑm# | Rule 27 : j > ʝ / __ [+syl]
#mˌɛn̪t̪ʝˈon̪ɪkɑm# | Rule 54 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,0delrel] 
#mˌɛn̪t̪ʝˈon̪ekɑm# | Rule 64 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#mˌɛn̪t̪ʝˈon̪ekɑ# | Rule 69 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#mˌɛn̪t͡sʲʝˈon̪ekɑ# | Rule 73 : {t̪;d̪} > {t͡sʲ;ɟ} / __ [+hi,+front,-syl,+cont]
#mˌɛn̪t͡sʲˈon̪ekɑ# | Rule 85 : ʝ > ∅ / [-cont,+hi,+front] __ 
#mˌɛn̪t͡sʲˈoːn̪ekɑ# | Rule 109 : [+prim] > [+long] / __ [+cons] [-cons]
#mˌɛn̪t͡sʲˈoːn̪kɑ# | Rule 130 : e > ∅ / __ k [+lo,+syl]
#mˌɛn̪t͡sʲˈon̪kɑ# | Rule 148 : [+syl] > [-long,-splng] / __ [-syl] [+cons]
#mˌɛn̪t͡sʲˈũn̪kɑ# | Rule 162 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,0delrel] / __ [+nas,+cons]
#mˌɛn̪t͡sʲˈũn̪ka# | Rule 195 : [+lo,+syl] > [+front,-back] 
#mˌɛn̪t͡sʲˈũn̪kʲa# | Rule 230 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#mˌɛn̪t͡sʲˈũn̪ca# | Rule 243 : [+back,+front] > [-back] 
#mˌɛn̪t͡sʲˈũn̪t͡ʃa# | Rule 252 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#mˌɛn̪t͡sʲˈũn̪t͡ʃə# | Rule 434 : a > ə / [+syl] ( [-syl] )* __ 
#mˌɛ̃n̪t͡sʲˈũn̪t͡ʃə# | Rule 508 : [+front,-hi,+syl] > [+nas,+son,0delrel] / __ [+nas,-syl]
#mˌãn̪t͡sʲˈũn̪t͡ʃə# | Rule 565 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,0delrel] / __ [+cons]
#mˌãn̪sʲˈũn̪ʃə# | Rule 631 : [+delrel] > [+cont,0delrel] 
#mˌãːsʲˈũːʃə# | Rule 650 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#mˌãːsˈũːʃə# | Rule 655 : {sʲ;d̪ʲ;t̪ʲ} > {s;d̪;t̪} 
#mˌãːsˈũːʃə̯# | Rule 690 : ə > ə̯ / __ #
#mˌɑ̃ːsˈũːʃə̯# | Rule 700 : [+lo,+long,+syl] > [+back,-front] 
#mˌɑ̃ːsˈũːʃ# | Rule 719 : ə̯ > ∅ 
#mɑ̃ːsũːʃ# | Rule 733 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#mɑ̃sũʃ# | Rule 734 : [+syl,+long] > [-long,-splng] 
#mɑ̃sɔ̃ʃ# | Rule 735 : [+back,-lo,+nas,+syl] > ɔ̃ 
