Trajectory file for run 'run1'; etymon number :1225:
#t̪ˌest̪imˈoːn̪ium# >>> #t̪ɛmwɛ̃# ( Correct : #t̪emwɛ̃#) :
t̪ ˌe s t̪ i m ˈoː n̪ i u m 
#t̪ˌɛst̪ɪmˈoːn̪ɪʊm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#t̪ˌɛst̪ɪmˈoːn̪jʊm# | Rule 23 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#t̪ˌɛst̪ɪmˈoːn̪ʝʊm# | Rule 28 : j > ʝ / __ [+syl]
#t̪ˌɛst̪ɪmˈon̪ʝʊm# | Rule 58 : [+syl,+long] > [-long,-splng] 
#t̪ˌɛst̪emˈon̪ʝom# | Rule 69 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#t̪ˌɛst̪emˈon̪ʝo# | Rule 74 : [+nas,+cons] > ∅ / [-stres] __ #
#t̪ˌɛst̪emˈoɲo# | Rule 95 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#t̪ˌɛst̪emˈoːɲo# | Rule 115 : [+prim] > [+long] / __ [+cons] [-cons]
#t̪ˌɛst̪emˈũːɲo# | Rule 171 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,0delrel] / __ [+nas]
#t̪ˌɛst̪əmˈũːɲo# | Rule 274 : [-stres,-lo,+syl] > ə / __ [-syl]
#t̪ˌɛst̪əmˈũːɲə# | Rule 275 : [-stres,-lo,+syl] > ə / __ #
#t̪ˌɛst̪ə̯mˈũːɲə̯# | Rule 283 : ə > ə̯ 
#t̪ˌɛst̪mˈũːɲ# | Rule 307 : ə̯ > ∅ 
#t̪ˌɛsd̪mˈũːɲ# | Rule 362 : t̪ > d̪ / __ [+nas,+cons]
#t̪ˌɛsd̪mˈũɲ# | Rule 419 : [+syl] > [-long,-splng] / __ ɲ
#t̪ˌɨsd̪mˈũɲ# | Rule 433 : ˌɛ > ˌɨ / __ [+cor,+cont] [+cor]
#t̪ˌɛsd̪mˈũɲ# | Rule 439 : {ˌɨ;ˌɯ} > {ˌɛ;ˌɔ} 
#t̪ˌɛsmˈũɲ# | Rule 484 : [+cons] > ∅ / [+cons] __ [+nas,+cons]
#t̪ˌɛzmˈũɲ# | Rule 488 : s > z / __ [+voi,+cons]
#t̪ˌɛzmˈũj̃ɲ# | Rule 528 : ∅ > j̃ / [+tense,+syl] __ ɲ #
#t̪ˌɛːzmˈũj̃ɲ# | Rule 555 : [+stres] > [+long] / @ __ z [+cons] [+syl] [-cons]
#t̪ˌɛːmˈũj̃ɲ# | Rule 556 : z > ∅ / __ [+cons]
#t̪ˌɛ̃ːmˈũj̃ɲ# | Rule 633 : [+syl,-hi] > [+nas,+son,0delrel] / __ [+nas,-syl]
#t̪ˌɛ̃ːmwˈĩɲ# | Rule 634 : {ũ j̃;ˌũ j̃;ˈũ j̃} > {w ĩ;w ˌĩ;w ˈĩ} 
#t̪ˌɛ̃ːmwˈĩn̪# | Rule 649 : ɲ > n̪ / __ #
#t̪ˌɛ̃ːmwˈẽn̪# | Rule 666 : [+front,+nas,+syl] > [-hi] / w __ 
#t̪ˌɛ̃ːmwˈẽː# | Rule 674 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#t̪ˌɛ̃ːmwˈɛ̃ː# | Rule 682 : [+front,-round,+syl,-lo] > [-hi,-tense,-cons,-lat,+cont,0delrel] / w __ 
#t̪ˌɛːmwˈɛ̃ː# | Rule 689 : [+front,-lo,+nas,+syl] > [-nas] / __ [+nas,+cons] [-cons]
#t̪ɛːmwɛ̃ː# | Rule 758 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#t̪ɛmwɛ̃# | Rule 759 : [+syl,+long] > [-long,-splng] 
