Trajectory file for run 'run1'; etymon number :979:
#pˌuppˈɑːt̪ɑm# >>> #pupe# ( Correct : #pupe#) :
p ˌu p p ˈɑː t̪ ɑ m 
#pˌʊppˈɑːt̪ɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#pˌʊppˈɑt̪ɑm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#pˌoppˈɑt̪ɑm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#pˌoppˈɑt̪ɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#pˌoppˈɑːt̪ɑ# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#pˌoppˈaːt̪a# | Rule 198 : [+lo,+syl] > [+front,-back] 
#pˌoppˈaːd̪a# | Rule 358 : [-voi] > [+voi] / [-cons] __ [-cons]
#pˌoppˈaːða# | Rule 382 : [-delrel,+voi] > [+cont,.delrel] / [-cons] __ [-cons]
#pˌoppˈae̯ða# | Rule 411 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#pˌoppˈae̯ðə# | Rule 438 : a > ə / [+syl] ( [-syl] )* __ 
#pˌopˈae̯ðə# | Rule 486 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ} 
#pˌopˈeːðə# | Rule 541 : {a e̯;ˌa e̯;ˈa e̯} > {eː;ˌeː;ˈeː} 
#pˌupˈeːðə# | Rule 551 : [+round,+tense,+back] > [+hi] 
#pˌupˈeːə# | Rule 591 : {θ;ð} > {∅;∅} 
#pˌupˈeː# | Rule 667 : ə > ∅ / [+syl] __ 
#pupeː# | Rule 717 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#pupe# | Rule 718 : [+syl,+long] > [-long,-splng] 
