Trajectory file for run 'run1'; etymon number :380:
#iˌuwen̪kˈellɑm# >>> #ʒwə̃sɛl# ( Correct : #ʒuvɑ̃sɛl#) :
i ˌu w e n̪ k ˈe l l ɑ m 
#iˌuweŋkˈellɑm# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#iˌuɣʷeŋkˈellɑm# | Rule 4 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɪˌʊɣʷɛŋkˈɛllɑm# | Rule 13 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#jˌʊɣʷɛŋkˈɛllɑm# | Rule 22 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#ʝˌʊɣʷɛŋkˈɛllɑm# | Rule 25 : j > ʝ / __ [+syl]
#ʝˌʊβʷɛŋkˈɛllɑm# | Rule 44 : ɣʷ > βʷ 
#ʝˌoβʷɛŋkˈɛllɑm# | Rule 58 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ʝˌoβʷɛŋkˈɛllɑ# | Rule 63 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#ʝˌoβʷɛŋkʲˈɛllɑ# | Rule 68 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#ʝˌoβʷɛŋcˈɛllɑ# | Rule 69 : [+back,+front] > [-back] 
#ʝˌoβɛŋcˈɛllɑ# | Rule 105 : {βʷ;ɸʷ} > {β;ɸ} 
#ʝˌoβɛŋt͡sʲˈɛllɑ# | Rule 147 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#ʝˌoβɛŋt͡sʲˈɛlla# | Rule 160 : [+lo,+syl] > [+front,-back] 
#ɟˌoβɛŋt͡sʲˈɛlla# | Rule 209 : [+hi,-syl,+cont] > [-cont,-son,-delrel,+cons,.tense] / # __ [+syl]
#d͡ʒˌoβɛŋt͡sʲˈɛlla# | Rule 212 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#d͡ʒˌoβəŋt͡sʲˈɛlla# | Rule 215 : [-stres,-lo,+syl] > ə 
#d͡ʒˌoβə̯ŋt͡sʲˈɛlla# | Rule 216 : ə > ə̯ 
#d͡ʒˌoβəŋt͡sʲˈɛlla# | Rule 220 : ə̯ > ə / __ [-syl] [+front,-cont]
#d͡ʒˌowəŋt͡sʲˈɛlla# | Rule 287 : {β;ɣʷ} > {w;w} / __ ( ə ) [+cons]
#d͡ʒˌowəŋt͡sʲˈɛllə# | Rule 293 : a > ə / [+syl] ( [-syl] )* __ 
#d͡ʒˌowəŋt͡sʲˈɛlə# | Rule 342 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ} 
#d͡ʒˌowəŋt͡sˈɛlə# | Rule 353 : t͡sʲ > t͡s 
#d͡ʒˌewəŋt͡sˈɛlə# | Rule 373 : [+round,+back,+tense,-hi,+syl] > [-back,+front,-round,-lab] / __ w
#d͡ʒˌəwəŋt͡sˈɛlə# | Rule 404 : ˌe > ˌə / __ ( [+cons] ) [-cons]
#d͡ʒˌəwə̃ŋt͡sˈɛlə# | Rule 414 : [+syl,-front] > [+nas,+son,.delrel] / __ [+nas]
#d͡ʒˌəwəŋt͡sˈɛlə# | Rule 429 : ə̃ > ə 
#ʒˌəwəŋsˈɛlə# | Rule 438 : [+delrel] > [+cont,.delrel] 
#ʒˌəwə̃ŋsˈɛlə# | Rule 441 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas,+cons]
#ʒˌəw?sˈɛlə# | Rule 494 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#ʒˌəw?sˈɛlə̯# | Rule 508 : ə > ə̯ / __ #
#ʒˌəw?sˈɛl# | Rule 515 : ə̯ > ∅ 
#ʒəw?sɛl# | Rule 526 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʒəwə̃sɛl# | Rule 527 : [+syl,+long] > [-long,-splng] 
#ʒwə̃sɛl# | Rule 539 : ə > ∅ / # [-syl] __ [-syl] [+syl]
