Trajectory file for run 'run1'; etymon number :219:
#ˌekskˈort̪ikˈɑːre# >>> #ekɔʁʃe# ( Correct : #ekɔʁʃe#) :
ˌe k s k ˈo r t̪ i k ˈɑː r e 
#ˌɛkskˈɔrt̪ɪkˈɑːrɛ# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ˌɛkskˈɔrt̪ɪkˈɑrɛ# | Rule 56 : [+syl,+long] > [-long,-splng] 
#ˌɛskˈɔrt̪ɪkˈɑrɛ# | Rule 60 : k > ∅ / __ s [+cons]
#ˌɛskˈɔrt̪ekˈɑrɛ# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ˌɛskˈɔr̥t̪ekˈɑrɛ# | Rule 102 : [+ant,+cons] > [-voi] / __ t̪
#ˌɛskˈɔrt̪ekˈɑrɛ# | Rule 103 : r̥ > r 
#ˌɛskˈɔrt̪ekˈɑːrɛ# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#ˌɛskˈɔrt̪kˈɑːrɛ# | Rule 131 : e > ∅ / __ k [+lo,+syl]
#ˌɛskˈɔrt̪kˈaːrɛ# | Rule 200 : [+lo,+syl] > [+front,-back] 
#ˌɛskˈɔrt̪kʲˈaːrɛ# | Rule 238 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#ˌɛskˈɔrt̪kʲˈɛːrɛ# | Rule 246 : ˈaː > ˈɛː / [+cons,+front] __ [+cons,-front,-nas]
#ˌɛskˈɔrt̪kʲˈie̯rɛ# | Rule 248 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#ˌɛskˈɔrt̪cˈie̯rɛ# | Rule 251 : [+back,+front] > [-back] 
#ˌɛskˈɔrt̪t͡ʃˈie̯rɛ# | Rule 260 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#ˌɛskˈɔrt̪t͡ʃˈie̯rə# | Rule 270 : [-stres,-lo,+syl] > ə / __ #
#ˌɛskˈɔrt̪t͡ʃˈie̯rə̯# | Rule 272 : ə > ə̯ 
#ˌɛskˈɔrt̪t͡ʃˈie̯r# | Rule 307 : ə̯ > ∅ 
#ˌɛskˈɔrt͡ʃˈie̯r# | Rule 341 : {d̪ d̪;t̪ t̪;t̪ t͡s;d̪ d͡ʒ;t̪ t͡ʃ;ɟ ɟ;c c;ɡ ɡ;k k;s s;m m;l l;ɫ l} > {d̪;t̪;t͡s;d͡ʒ;t͡ʃ;ɟ;c;ɡ;k;s;m;l;l} / [+cons] __ 
#ˌeskˈɔrt͡ʃˈie̯r# | Rule 426 : ˌɛ > ˌe / __ [+cor,+cont] [-cor]
#ˌexkˈɔrt͡ʃˈie̯r# | Rule 592 : s > x / [-cons] __ [+cons]
#ˌexkˈɔrt͡ʃjˈer# | Rule 593 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#ˌexkˈɔrt͡ʃj?r# | Rule 610 : ˈe > ? / __ @
#ˌexkˈɔrt͡ʃjˈer# | Rule 612 : ? > ˈe / [+syl] ( [-syl] )* __ r ( s ) #
#ˌexkˈɔrʃjˈer# | Rule 643 : [+delrel] > [+cont,.delrel] 
#ˌeːkˈɔrʃjˈer# | Rule 651 : [+syl] x > [+long] ∅/ __ [+cons]
#ˌeːkˈɔrʃˈer# | Rule 665 : j > ∅ / [+front,+cons] __ [+front,-hi,-lo,-round,+syl,-nas]
#ˌeːkˈɔrʃˈeɹ# | Rule 719 : r > ɹ / [-cons] __ #
#ˌeːkˈɔɹʃˈeɹ# | Rule 720 : r > ɹ / [-cons] __ [+cons]
#ˌeːkˈɔɹʃˈe# | Rule 732 : ɹ > ∅ / [+syl] ( [-syl] )* [-hi,+front,+tense,-lo] __ #
#ˌeːkˈɔrʃˈe# | Rule 733 : ɹ > r 
#ˌeːkˈɔʀʃˈe# | Rule 735 : r > ʀ 
#eːkɔʀʃe# | Rule 736 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ekɔʀʃe# | Rule 737 : [+syl,+long] > [-long,-splng] 
#ekɔʁʃe# | Rule 743 : ʀ > ʁ 
