Trajectory file for run 'run1'; etymon number :632:
#mˌɑlehˈɑbit̪um# >>> #maja# ( Correct : #malad̪#) :
m ˌɑ l e h ˈɑ b i t̪ u m 
#mˌɑɫehˈɑbit̪um# | Rule 4 : l > ɫ / @ __ 
#mˌɑɫɛhˈɑbɪt̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#mˌɑɫɛˈɑbɪt̪ʊm# | Rule 16 : h > ∅ / @ __ 
#mˌɑɫjˈɑbɪt̪ʊm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#mˌɑɫʝˈɑbɪt̪ʊm# | Rule 27 : j > ʝ / __ [+syl]
#mˌɑɫʝˈɑβɪt̪ʊm# | Rule 41 : b > β / [+syl] __ [+son,-lat,-nas]
#mˌɑɫʝˈɑβet̪om# | Rule 54 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#mˌɑɫʝˈɑβet̪o# | Rule 59 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#mˌɑɫʝˈɑβt̪o# | Rule 72 : e > ∅ / __ [+cor,-cont,+ant] [+syl] ( [-syl] ) #
#mˌɑʎʝˈɑβt̪o# | Rule 118 : [+lat] > ʎ / __ [+cons,+hi,+front]
#mˌɑʎˈɑβt̪o# | Rule 119 : [-lat,-nas,-syl,+hi,+front] > ∅ / [+hi,+front,+son,+cons] __ 
#mˌaʎˈaβt̪o# | Rule 133 : [+lo,+syl] > [+front,-back] 
#mˌaʎˈat̪t̪o# | Rule 134 : [+lab,-nas,-round,+cons] > t̪ / __ [-cont,+cor,-voi]
#mˌaʎˈat̪t̪ə# | Rule 195 : [-stres,-lo,+syl] > ə 
#mˌaʎˈat̪t̪ə̯# | Rule 196 : ə > ə̯ 
#mˌaʎˈat̪t̪# | Rule 208 : ə̯ > ∅ 
#mˌaʎˈat̪# | Rule 334 : [+cor,-cont,-delrel] > ∅ / __ [+cor,-cont]
#mˌaʎˈa# | Rule 527 : [-son] > ∅ / __ #
#maʎa# | Rule 541 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#maja# | Rule 549 : ʎ > j 
