Trajectory file for run 'run1'; etymon number :410:
#kˌɑmpin̪iˈoːn̪em# >>> #ʃɑ̃piɲɔ̃# ( Correct : #ʃɑ̃piɲɔ̃#) :
k ˌɑ m p i n̪ i ˈoː n̪ e m 
#kˌɑmpɪn̪ɪˈoːn̪ɛm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#kˌɑmpɪn̪jˈoːn̪ɛm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#kˌɑmpɪn̪ʝˈoːn̪ɛm# | Rule 26 : j > ʝ / __ [+syl]
#kˌɑmpɪn̪ʝˈon̪ɛm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#kˌɑmpen̪ʝˈon̪ɛm# | Rule 67 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#kˌɑmpen̪ʝˈon̪ɛ# | Rule 72 : [+nas,+cons] > ∅ / [-stres] __ #
#kˌɑmpeɲˈon̪ɛ# | Rule 93 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#kˌɑmpeɲˈoːn̪ɛ# | Rule 113 : [+prim] > [+long] / __ [+cons] [-cons]
#kˌɑmpeɲˈũːn̪ɛ# | Rule 169 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,0delrel] / __ [+nas]
#kˌampeɲˈũːn̪ɛ# | Rule 202 : [+lo] > [+front,-back] 
#kʲˌampeɲˈũːn̪ɛ# | Rule 238 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#cˌampeɲˈũːn̪ɛ# | Rule 251 : [+back,+front] > [-back] 
#t͡ʃˌampeɲˈũːn̪ɛ# | Rule 260 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son,-cont,+cons,0tense] 
#t͡ʃˌampəɲˈũːn̪ɛ# | Rule 272 : [-stres,-lo,+syl] > ə / __ [-syl]
#t͡ʃˌampəɲˈũːn̪ə# | Rule 273 : [-stres,-lo,+syl] > ə / __ #
#t͡ʃˌampə̯ɲˈũːn̪ə̯# | Rule 281 : ə > ə̯ 
#t͡ʃˌampəɲˈũːn̪ə̯# | Rule 289 : ə̯ > ə / __ [+front,+cons,+son]
#t͡ʃˌampəɲˈũːn̪# | Rule 305 : ə̯ > ∅ 
#t͡ʃˌampəɲˈũn̪# | Rule 461 : [+syl] > [-long,-splng] 
#t͡ʃˌampeɲˈũn̪# | Rule 511 : ə > e / __ [+front,+son,+hi,-syl]
#t͡ʃˌampiɲˈũn̪# | Rule 514 : e > i / __ [+hi,+son,+front,+cons]
#t͡ʃˌãmpiɲˈũn̪# | Rule 519 : [+lo] > [+nas,+son,0delrel] / __ [+nas,-syl]
#t͡ʃˌãmpĩɲˈũn̪# | Rule 633 : [+syl] > [+nas,+son,0delrel] / __ [+nas,+cons]
#ʃˌãmpĩɲˈũn̪# | Rule 641 : [+delrel] > [+cont,0delrel] 
#ʃˌãn̪pĩɲˈũn̪# | Rule 652 : m > n̪ / __ [+cons]
#ʃˌãn̪piɲˈũn̪# | Rule 663 : [+nas,+front,+hi,+syl] > [-nas] / __ [+nas,+cons] [-cons]
#ʃˌãːpiɲˈũn̪# | Rule 676 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#ʃˌãːpiɲˈũː# | Rule 677 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#ʃˌɑ̃ːpiɲˈũː# | Rule 712 : [+lo,+long,+syl] > [+back,-front] 
#ʃɑ̃ːpiɲũː# | Rule 748 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#ʃɑ̃piɲũ# | Rule 749 : [+syl,+long] > [-long,-splng] 
#ʃɑ̃piɲɔ̃# | Rule 750 : ũ > ɔ̃ 
