Trajectory file for run 'run1'; etymon number :1258:
#ˈumbrɑm# >>> #ɔ̃bʁ# ( Correct : #ɔ̃bʁ#) :
ˈu m b r ɑ m 
#ˈʊmbrɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#ˈombrɑm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ˈombrɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#ˈũmbrɑ# | Rule 164 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,.delrel] / __ [+nas,+cons]
#ˈũmbra# | Rule 197 : [+lo,+syl] > [+front,-back] 
#ˈũmbrə# | Rule 432 : a > ə / [+syl] ( [-syl] )* __ 
#ˈũːbrə# | Rule 672 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#ˈũːbrə̯# | Rule 686 : ə > ə̯ / __ #
#ˈũːbr# | Rule 693 : ə̯ > ∅ 
#ˈũːbʀ# | Rule 704 : r > ʀ 
#ũːbʀ# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ũbʀ# | Rule 706 : [+syl,+long] > [-long,-splng] 
#ɔ̃bʀ# | Rule 707 : [+back,-lo,+nas,+syl] > ɔ̃ 
#ɔ̃bʁ# | Rule 712 : ʀ > ʁ 
