Trajectory file for run 'run1'; etymon number :1190:
#t̪ˌɑksoːn̪ˈɑːriɑm# >>> #t̪ɛn̪jɛʁ# ( Correct : #t̪an̪jɛʁ#) :
t̪ ˌɑ k s oː n̪ ˈɑː r i ɑ m 
#t̪ˌɑksoːn̪ˈɑːrɪɑm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#t̪ˌɑksoːn̪ˈɑːrjɑm# | Rule 23 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#t̪ˌɑksoːn̪ˈɑːrʝɑm# | Rule 28 : j > ʝ / __ [+syl]
#t̪ˌɑkson̪ˈɑrʝɑm# | Rule 58 : [+syl,+long] > [-long,-splng] 
#t̪ˌɑxson̪ˈɑrʝɑm# | Rule 63 : k > x / [-cons] __ [+cor,-voi]
#t̪ˌɑxson̪ˈɑrʝɑ# | Rule 74 : [+nas,+cons] > ∅ / [-stres] __ #
#t̪ˌɑxsũn̪ˈɑrʝɑ# | Rule 171 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,0delrel] / __ [+nas]
#t̪ˌɑxsũn̪ˈɑrʲɑ# | Rule 181 : r ʝ > rʲ 
#t̪ˌaxsũn̪ˈarʲa# | Rule 205 : [+lo] > [+front,-back] 
#t̪ˌaçsũn̪ˈarʲa# | Rule 214 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#t̪ˌaçsʲũn̪ˈarʲa# | Rule 222 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲũn̪ˈaːrʲa# | Rule 230 : [+prim] > [+long] / __ ( [+cons] ) [+syl]
#t̪ˌaçsʲən̪ˈaːrʲa# | Rule 271 : [-stres,-lo] > ə / __ [-syl] ( [-syl] )* [+lo,+prim]
#t̪ˌaçsʲən̪ˈɛːra# | Rule 273 : ˈaː rʲ > ˈɛː r / [+syl] ( [-syl] )* __ [+syl] #
#t̪ˌaçsʲə̯n̪ˈɛːra# | Rule 283 : ə > ə̯ 
#t̪ˌaçsʲn̪ˈɛːra# | Rule 307 : ə̯ > ∅ 
#t̪ˌaçsʲn̪ʲˈɛːra# | Rule 332 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲn̪ʲˈie̯ra# | Rule 383 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#t̪ˌaçsn̪ˈie̯ra# | Rule 397 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#t̪ˌaçsn̪ˈie̯rə# | Rule 452 : a > ə / [+syl] ( [-syl] )* __ 
#t̪ˌaʝsn̪ˈie̯rə# | Rule 470 : ç > ʝ 
#t̪ˌajsn̪ˈie̯rə# | Rule 476 : ʝ > j / [-cons] __ 
#t̪ˌajzn̪ˈie̯rə# | Rule 488 : s > z / __ [+voi,+cons]
#t̪ˌajn̪ˈie̯rə# | Rule 556 : z > ∅ / __ [+cons]
#t̪ˌajn̪jˈerə# | Rule 601 : {ˈi e̯;ˌɛ a̯;ˈɛ a̯;ˈy ø̯} > {j ˈe;e̯ ˌa;e̯ ˈa;ɥ ˈø} 
#t̪ˌajn̪jˈɛrə# | Rule 618 : {ˈeː;ˈe} > {ˈɛː;ˈɛ} / __ [+cons] [+syl]
#t̪ˌɛjn̪jˈɛrə# | Rule 625 : [+lo] > [-lo,-tense,-cons,-lat,+cont,0delrel] / __ j [+cons]
#t̪ˌɛj̃n̪jˈɛrə# | Rule 631 : j > j̃ / __ [+nas,+cons]
#t̪ˌɛ̃j̃n̪jˈɛrə# | Rule 633 : [+syl,-hi] > [+nas,+son,0delrel] / __ [+nas,-syl]
#t̪ˌɛ̃n̪jˈɛrə# | Rule 670 : j̃ > ∅ / [+nas,+front,-tense] __ 
#t̪ˌɛn̪jˈɛrə# | Rule 689 : [+front,-lo,+nas,+syl] > [-nas] / __ [+nas,+cons] [-cons]
#t̪ˌɛn̪jˈɛrə̯# | Rule 713 : ə > ə̯ / __ #
#t̪ˌɛn̪jˈɛr# | Rule 741 : ə̯ > ∅ 
#t̪ˌɛn̪jˈɛʀ# | Rule 757 : r > ʀ 
#t̪ɛn̪jɛʀ# | Rule 758 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#t̪ɛn̪jɛʁ# | Rule 765 : ʀ > ʁ 
