Trajectory file for run 'run1'; etymon number :626:
#mˌɑlehˈɑbit̪um# >>> #majat̪# ( Correct : #malad̪#) :
m ˌɑ l e h ˈɑ b i t̪ u m 
#mˌɑlɛhˈɑbɪt̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#mˌɑlɛˈɑbɪt̪ʊm# | Rule 16 : h > ∅ / @ __ 
#mˌɑljˈɑbɪt̪ʊm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#mˌɑlʝˈɑbɪt̪ʊm# | Rule 28 : j > ʝ / __ [+syl]
#mˌɑlʝˈɑβɪt̪ʊm# | Rule 51 : b > β / [+syl] __ [+son,-lat,-nas]
#mˌɑlʝˈɑβet̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#mˌɑlʝˈɑβet̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#mˌɑʎˈɑβet̪o# | Rule 91 : l ʝ > ʎ 
#mˌɑʎˈɑβt̪o# | Rule 93 : e > ∅ / __ [+cor,+distr,+ant] [+syl] ( [-syl] ) #
#mˌɑʎˈɑɸt̪o# | Rule 102 : [+ant,+cons] > [-voi] / __ t̪
#mˌaʎˈaɸt̪o# | Rule 198 : [+lo,+syl] > [+front,-back] 
#mˌaʎˈaɸt̪ə# | Rule 269 : [-stres,-lo,+syl] > ə / __ #
#mˌaʎˈaɸt̪ə̯# | Rule 271 : ə > ə̯ 
#mˌaʎˈaɸt̪# | Rule 306 : ə̯ > ∅ 
#mˌaʎˈaɸt̪ə# | Rule 321 : ∅ > ə / [+cons,+lab] [-cont,+cor] __ #
#mˌaʎˈat̪t̪ə# | Rule 336 : [+lab,-nas,-round,+cons] > t̪ / __ [-cont,+cor,-voi]
#mˌaʎˈat̪ə# | Rule 483 : [+cor,-cont,-delrel] > ∅ / __ [+cor,-cont]
#mˌaʎˈat̪ə̯# | Rule 696 : ə > ə̯ / __ #
#mˌaʎˈat̪# | Rule 703 : ə̯ > ∅ 
#maʎat̪# | Rule 715 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#majat̪# | Rule 723 : ʎ > j 
