Trajectory file for run 'run1'; etymon number :626:
#mˌɑlehˈɑbit̪um# >>> #maja# ( Correct : #malad̪#) :
m ˌɑ l e h ˈɑ b i t̪ u m 
#mˌɑlɛhˈɑbɪt̪ʊm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#mˌɑlɛˈɑbɪt̪ʊm# | Rule 15 : h > ∅ / @ __ 
#mˌɑljˈɑbɪt̪ʊm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#mˌɑlʝˈɑbɪt̪ʊm# | Rule 27 : j > ʝ / __ [+syl]
#mˌɑlʝˈɑβɪt̪ʊm# | Rule 46 : b > β / [+syl] __ [+son,-lat,-nas]
#mˌɑlʝˈɑβet̪om# | Rule 59 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#mˌɑlʝˈɑβet̪o# | Rule 64 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#mˌɑʎˈɑβet̪o# | Rule 82 : l ʝ > ʎ 
#mˌɑʎˈɑβt̪o# | Rule 83 : e > ∅ / __ [+cor,+distr,+ant] [+syl] ( [-syl] ) #
#mˌɑʎˈɑɸt̪o# | Rule 90 : [+ant,+cons] > [-voi] / __ t̪
#mˌaʎˈaɸt̪o# | Rule 170 : [+lo,+syl] > [+front,-back] 
#mˌaʎˈat̪t̪o# | Rule 171 : [+lab,-nas,-round,+cons] > t̪ / __ [-cont,+cor,-voi]
#mˌaʎˈat̪t̪ə# | Rule 230 : [-stres,-lo,+syl] > ə / __ #
#mˌaʎˈat̪t̪ə̯# | Rule 232 : ə > ə̯ 
#mˌaʎˈat̪t̪# | Rule 259 : ə̯ > ∅ 
#mˌaʎˈat̪# | Rule 371 : [+cor,-cont,-delrel] > ∅ / __ [+cor,-cont]
#mˌaʎˈa# | Rule 546 : [-son] > ∅ / __ #
#maʎa# | Rule 558 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#maja# | Rule 566 : ʎ > j 
