Trajectory file for run 'run1'; etymon number :638:
#mˈɑn̪um# >>> #mɛ̃# ( Correct : #mɛ̃#) :
m ˈɑ n̪ u m 
#mˈɑn̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#mˈɑn̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#mˈɑn̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#mˈɑːn̪o# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#mˈaːn̪o# | Rule 200 : [+lo,+syl] > [+front,-back] 
#mˈaːn̪ə# | Rule 272 : [-stres,-lo,+syl] > ə / __ #
#mˈaːn̪ə̯# | Rule 274 : ə > ə̯ 
#mˈaːn̪# | Rule 309 : ə̯ > ∅ 
#mˈae̯n̪# | Rule 417 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#mˈajn̪# | Rule 440 : e̯ > j / [+lo,+stres] __ [+nas,+cons,-hi]
#mˈaj̃n̪# | Rule 504 : j > j̃ / [+lo,+syl] __ [+nas,-syl]
#mˈãj̃n̪# | Rule 505 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#mˈɛ̃j̃n̪# | Rule 579 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j̃
#mˈɛ̃n̪# | Rule 646 : j̃ > ∅ / [+nas,+front,-tense] __ 
#mˈɛ̃ː# | Rule 650 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#mɛ̃ː# | Rule 723 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#mɛ̃# | Rule 724 : [+syl,+long] > [-long,-splng] 
