Trajectory file for run 'run1'; etymon number :1197:
#t̪ˌest̪imˈoːn̪ium# >>> #t̪ɛmɔ̃j̃# ( Correct : #t̪emwɛ̃#) :
t̪ ˌe s t̪ i m ˈoː n̪ i u m 
#t̪ˌɛst̪ɪmˈoːn̪ɪʊm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɛst̪ɪmˈoːn̪jʊm# | Rule 23 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#t̪ˌɛst̪ɪmˈoːn̪ʝʊm# | Rule 26 : j > ʝ / __ [+syl]
#t̪ˌɛst̪ɪmˈon̪ʝʊm# | Rule 49 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#t̪ˌɛst̪emˈon̪ʝom# | Rule 59 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɛst̪emˈon̪ʝo# | Rule 64 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#t̪ˌɛst̪emˈoɲo# | Rule 79 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#t̪ˌɛst̪emˈoːɲo# | Rule 92 : [+prim] > [+long] / __ [+cons] [-cons]
#t̪ˌɛst̪emˈũːɲo# | Rule 136 : [+round,+tense,-hi,+stres] > [+hi,+nas,+son,.delrel] / __ [+nas,+cons]
#t̪ˌɛst̪əmˈũːɲə# | Rule 221 : [-stres,-lo,+syl] > ə 
#t̪ˌɛst̪ə̯mˈũːɲə̯# | Rule 222 : ə > ə̯ 
#t̪ˌɛst̪mˈũːɲ# | Rule 235 : ə̯ > ∅ 
#t̪ˌɛsd̪mˈũːɲ# | Rule 266 : t̪ > d̪ / __ [+nas,+cons]
#t̪ˌesd̪mˈũːɲ# | Rule 292 : {ˌɛ;ˌɔ} > {ˌe;ˌo} 
#t̪ˌesmˈũːɲ# | Rule 325 : [+cons] > ∅ / [+cons] __ [-son]
#t̪ˌezmˈũːɲ# | Rule 329 : s > z / __ [+voi,+cons]
#t̪ˌeːzmˈũːɲ# | Rule 368 : [+syl] > [+long] / __ z [+cons]
#t̪ˌeːmˈũːɲ# | Rule 369 : z > ∅ / __ [+cons]
#t̪ˌeːmˈũːj̃ɲ# | Rule 385 : ∅ > j̃ / [+hi,+round,+syl] __ ɲ #
#t̪ˌẽːmˈũːj̃ɲ# | Rule 421 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas]
#t̪ˌẽːmˈũːj̃n̪# | Rule 443 : ɲ > n̪ / __ #
#t̪ˌɛ̃ːmˈũːj̃n̪# | Rule 453 : [+nas,+front,-round,-lo,+syl] > [-hi,-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɛ̃ːmˈũːj̃# | Rule 503 : [+nas,+syl] j̃ [+nas,+cons] > [+long] j̃ ∅/ __ #
#t̪ˌɛːmˈũːj̃# | Rule 524 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#t̪ɛːmũːj̃# | Rule 532 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪ɛmũj̃# | Rule 533 : [+syl,+long] > [-long,-splng] 
#t̪ɛmɔ̃j̃# | Rule 534 : [+back,-lo,+nas,+syl] > ɔ̃ 
