Trajectory file for run 'run1'; etymon number :1330:
#wˌest̪iːmˈen̪t̪um# >>> #vɛmɑ̃# ( Correct : #vɛt̪mɑ̃#) :
w ˌe s t̪ iː m ˈe n̪ t̪ u m 
#ɣʷˌest̪iːmˈen̪t̪um# | Rule 4 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɣʷˌɛst̪iːmˈɛn̪t̪ʊm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#βʷˌɛst̪iːmˈɛn̪t̪ʊm# | Rule 48 : ɣʷ > βʷ 
#βʷˌɛst̪imˈɛn̪t̪ʊm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#βʷˌɛst̪imˈɛn̪t̪om# | Rule 67 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#βʷˌɛst̪imˈɛn̪t̪o# | Rule 72 : [+nas,+cons] > ∅ / [-stres] __ #
#βˌɛst̪imˈɛn̪t̪o# | Rule 160 : {βʷ;ɸʷ} > {β;ɸ} 
#βˌɛst̪əmˈɛn̪t̪o# | Rule 272 : [-stres,-lo,+syl] > ə / __ [-syl]
#βˌɛst̪əmˈɛn̪t̪ə# | Rule 273 : [-stres,-lo,+syl] > ə / __ #
#βˌɛst̪ə̯mˈɛn̪t̪ə̯# | Rule 281 : ə > ə̯ 
#βˌɛst̪mˈɛn̪t̪# | Rule 305 : ə̯ > ∅ 
#βˌɛsd̪mˈɛn̪t̪# | Rule 360 : t̪ > d̪ / __ [+nas,+cons]
#βˌɨsd̪mˈɛn̪t̪# | Rule 431 : ˌɛ > ˌɨ / __ [+cor,-nas,+cont] [+cons,-nas]
#βˌɛsd̪mˈɛn̪t̪# | Rule 437 : {ˌɨ;ˌɯ} > {ˌɛ;ˌɔ} 
#vˌɛsd̪mˈɛn̪t̪# | Rule 446 : β > v 
#vˌɛsmˈɛn̪t̪# | Rule 484 : [+cons] > ∅ / [+cons] __ [+nas,+cons]
#vˌɛzmˈɛn̪t̪# | Rule 488 : s > z / [-cons] __ [+voi,+cons]
#vˌɛzmˈɛ̃n̪t̪# | Rule 530 : [+front,-hi,+syl] > [+nas,+son,0delrel] / __ [+nas,-syl]
#vˌɛmˈɛ̃n̪t̪# | Rule 553 : z > ∅ / __ [+cons]
#vˌɛmˈãn̪t̪# | Rule 579 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,0delrel] / __ [+cons]
#vˌɛ̃mˈãn̪t̪# | Rule 627 : [+syl,-hi] > [+nas,+son,0delrel] / __ [+nas,-syl]
#vˌɛ̃mˈãːt̪# | Rule 668 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#vˌɛmˈãːt̪# | Rule 684 : [+front,-lo,+nas,+syl] > [-nas] / __ [+nas,+cons] [-cons]
#vˌɛmˈɑ̃ːt̪# | Rule 715 : [+lo,+long,+syl] > [+back,-front] 
#vˌɛmˈɑ̃ː# | Rule 734 : [-son] > ∅ / __ #
#vɛmɑ̃ː# | Rule 753 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#vɛmɑ̃# | Rule 754 : [+syl,+long] > [-long,-splng] 
