Trajectory file for run 'run1'; etymon number :1035:
#sˌɑkrɑmˈen̪t̪um# >>> #sɛʁə̃mæ̃# ( Correct : #sɛʁmɑ̃#) :
s ˌɑ k r ɑ m ˈe n̪ t̪ u m 
#sˌɑkrɑmˈɛn̪t̪ʊm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˌɑkrɑmˈɛn̪t̪om# | Rule 59 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#sˌɑkrɑmˈɛn̪t̪o# | Rule 64 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#sˌɑkrɑmˈɛ?t̪o# | Rule 91 : [+ant,+cons] > [-voi] / __ t̪
#sˌɑxrɑmˈɛ?t̪o# | Rule 103 : [+hi,+back,-cont] > [+cont,.delrel] / [-cons] __ [+cor,+cons]
#sˌaxramˈɛ?t̪o# | Rule 173 : [+lo,+syl] > [+front,-back] 
#sˌaçramˈɛ?t̪o# | Rule 181 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#sˌaçrʲamˈɛ?t̪o# | Rule 187 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌarʲamˈɛ?t̪o# | Rule 215 : [+hi,+front,-lat,-syl] > ∅ / __ rʲ
#sˌarʲamˈɛ?t̪ə# | Rule 233 : [-stres,-lo,+syl] > ə / __ #
#sˌarʲamˈɛ?t̪ə̯# | Rule 235 : ə > ə̯ 
#sˌarʲamˈɛ?t̪# | Rule 260 : ə̯ > ∅ 
#sˌajrʲamˈɛ?t̪# | Rule 298 : ∅ > j / [-cons] __ rʲ
#sˌajramˈɛ?t̪# | Rule 331 : rʲ > r 
#sˌajrəmˈɛ?t̪# | Rule 358 : a > ə / [+syl] ( [-syl] )* __ 
#sˌajrəmˈɛ̃?t̪# | Rule 426 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#sˌajrəmˈæ̃?t̪# | Rule 456 : [+nas,-hi,+syl] > [+lo] 
#sˌɛjrəmˈæ̃?t̪# | Rule 472 : [+lo,+syl] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j [+cons]
#sˌɛjrə̃mˈæ̃?t̪# | Rule 479 : [+syl,-front] > [+nas,+son,.delrel] / __ [+nas]
#sˌɛjrəmˈæ̃?t̪# | Rule 494 : ə̃ > ə 
#sˌɛːrəmˈæ̃?t̪# | Rule 497 : {ˌɛ j;ˌɛː j;ˈɛ j;ˈɛː j} > {ˌɛː;ˌɛː;ˈɛː;ˈɛː} / __ [+cons]
#sˌɛːrə̃mˈæ̃?t̪# | Rule 506 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas,+cons]
#sˌɛːrə̃mˈæ̃ːt̪# | Rule 559 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sˌɛːrə̃mˈæ̃ː# | Rule 579 : [-son] > ∅ / __ #
#sˌɛːʀə̃mˈæ̃ː# | Rule 590 : r > ʀ 
#sɛːʀə̃mæ̃ː# | Rule 591 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#sɛʀə̃mæ̃# | Rule 592 : [+syl,+long] > [-long,-splng] 
#sɛʁə̃mæ̃# | Rule 598 : ʀ > ʁ 
