Trajectory file for run 'run1'; etymon number :1053:
#sˌɑn̪ɡwisˈuːɡɑm# >>> #sɑ̃ɡzy# ( Correct : #sɑ̃sy#) :
s ˌɑ n̪ ɡ w i s ˈuː ɡ ɑ m 
#sˌɑŋɡwisˈuːɡɑm# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#sˌɑŋɡɣʷisˈuːɡɑm# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#sˌɑŋɡwisˈuːɡɑm# | Rule 6 : ɣʷ > w / [+back,+hi,+cons] __ 
#sˌɑŋɡwɪsˈuːɡɑm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˌɑŋɡwɪsˈuɡɑm# | Rule 49 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#sˌɑŋɡwesˈuɡɑm# | Rule 59 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#sˌɑŋɡwesˈuɡɑ# | Rule 64 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#sˌɑŋɡwesˈuɣɑ# | Rule 85 : [-cont,-delrel,+voi] > [+cont,.delrel] / [+syl] __ [+son,-lat,-nas]
#sˌɑŋɡwesˈuːɣɑ# | Rule 91 : [+prim] > [+long] / __ [+cons] [-cons]
#sˌɑŋɡwesˈuːɑ# | Rule 100 : ɣ > ∅ / [+hi,+round,+back,+syl] __ [+lo,+syl]
#sˌɑŋɡwezˈuːɑ# | Rule 111 : [+cont,-son] > [+voi] / [-cons] __ [+syl]
#sˌaŋɡwezˈuːa# | Rule 161 : [+lo,+syl] > [+front,-back] 
#sˌaŋɡwez?a# | Rule 204 : [+hi,+tense,+round,+syl,-nas] > [-front,-back] 
#sˌaŋɡwəz?a# | Rule 218 : [-stres,-lo,+syl] > ə 
#sˌaŋɡwə̯z?a# | Rule 219 : ə > ə̯ 
#sˌaŋɡwz?a# | Rule 231 : ə̯ > ∅ 
#sˌaŋɡwzˈʉa# | Rule 245 : [+syl] > [-long,-splng] / __ [+syl] #
#sˌaŋɡwz?a# | Rule 250 : [+prim] > [+long] / __ [+syl]
#sˌaŋɡwzˈʉa# | Rule 273 : [+syl] > [-long,-splng] / __ [+syl] #
#sˌaŋɡwz?a# | Rule 278 : [+prim] > [+long] / __ [+syl]
#sˌaŋɡwz?ə# | Rule 296 : a > ə / [+syl] ( [-syl] )* __ 
#sˌaŋɡwzˈyːə# | Rule 360 : [+hi,+round,-back] > [+front] 
#sˌãŋɡwzˈyːə# | Rule 362 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#sˌãŋɡzˈyːə# | Rule 415 : [-syl,+round,+cont] > ∅ / [+back,-cont] __ 
#sˌãŋɡzˈyː# | Rule 470 : ə > ∅ / [+syl] __ 
#sˌãːɡzˈyː# | Rule 497 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sãːɡzyː# | Rule 529 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#sãɡzy# | Rule 530 : [+syl,+long] > [-long,-splng] 
#sɑ̃ɡzy# | Rule 535 : {ã;ãː} > {ɑ̃;ɑ̃ː} 
