Trajectory file for run 'run1'; etymon number :873:
#pˌerpet̪ˈɑːn̪eum# >>> #pɛʁpɛ̃# ( Correct : #paʁpɛ̃#) :
p ˌe r p e t̪ ˈɑː n̪ e u m 
#pˌɛrpɛt̪ˈɑːn̪ɛʊm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#pˌɛrpɛt̪ˈɑːn̪jʊm# | Rule 23 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#pˌɛrpɛt̪ˈɑːn̪ʝʊm# | Rule 28 : j > ʝ / __ [+syl]
#pˌɛrpɛt̪ˈɑn̪ʝʊm# | Rule 58 : [+syl,+long] > [-long,-splng] 
#pˌɛrpɛt̪ˈɑn̪ʝom# | Rule 69 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#pˌɛrpɛt̪ˈɑn̪ʝo# | Rule 74 : [+nas,+cons] > ∅ / [-stres] __ #
#pˌɛrpɛt̪ˈɑɲo# | Rule 95 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#pˌɛrpɛt̪ˈɑːɲo# | Rule 116 : [+prim] > [+long] / __ [+cons] [-cons]
#pˌɛrpɛt̪ˈaːɲo# | Rule 206 : [+lo] > [+front,-back] 
#pˌɛrpɛt̪ˈaɲo# | Rule 236 : [-hi,+tense,+syl] > [-long,-splng] / __ ɲ
#pˌɛrpət̪ˈaɲo# | Rule 272 : [-stres,-lo] > ə / __ [-syl] ( [-syl] )* [+lo,+prim]
#pˌɛrpət̪ˈaɲə# | Rule 277 : [-stres,-lo,+syl] > ə / __ #
#pˌɛrpə̯t̪ˈaɲə̯# | Rule 285 : ə > ə̯ 
#pˌɛrpət̪ˈaɲə̯# | Rule 302 : ə̯ > ə / [+cons] p __ [-cont] ( [-syl] )* [+prim]
#pˌɛrpət̪ˈaɲ# | Rule 309 : ə̯ > ∅ 
#pˌɛrpəd̪ˈaɲ# | Rule 362 : [-voi] > [+voi] / [-cons] __ [-cons]
#pˌɛrpəðˈaɲ# | Rule 387 : [-delrel,+voi] > [+cont,0delrel] / [-cons] __ [-cons]
#pˌerpəðˈaɲ# | Rule 435 : ˌɛ > ˌe / __ @ @
#pˌerpəðˈãɲ# | Rule 513 : [+lo] > [+nas,+son,0delrel] / __ [+nas,-syl]
#pˌerpəðˈãj̃ɲ# | Rule 524 : ∅ > j̃ / [+tense] __ ɲ #
#pˌerpəðˈɛ̃j̃ɲ# | Rule 588 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,0delrel] / __ j̃
#pˌerpəˈɛ̃j̃ɲ# | Rule 608 : {θ;ð} > {∅;∅} 
#pˌerpəˈɛ̃j̃n̪# | Rule 644 : ɲ > n̪ / __ #
#pˌerpəˈɛ̃n̪# | Rule 662 : j̃ > ∅ / [+nas,+front,-tense] __ 
#pˌerpəˈɛ̃ː# | Rule 666 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#pˌɛrpəˈɛ̃ː# | Rule 682 : [-hi,-lo,+syl,+front] > [-tense,-cons,-lat,+cont,0delrel] / __ r [+cons,-strid]
#pˌɛrpˈɛ̃ː# | Rule 691 : [+syl,-front,-back] > ∅ / __ ( w ) [+syl]
#pˌɛɹpˈɛ̃ː# | Rule 725 : r > ɹ / [-cons] __ [+cons]
#pˌɛrpˈɛ̃ː# | Rule 748 : ɹ > r 
#pˌɛʀpˈɛ̃ː# | Rule 750 : r > ʀ 
#pɛʀpɛ̃ː# | Rule 751 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#pɛʀpɛ̃# | Rule 752 : [+syl,+long] > [-long,-splng] 
#pɛʁpɛ̃# | Rule 758 : ʀ > ʁ 
