Trajectory file for run 'run1'; etymon number :1050:
#sˌɑkrɑmˈen̪t̪um# >>> #sɛʁmɑ̃# ( Correct : #sɛʁmɑ̃#) :
s ˌɑ k r ɑ m ˈe n̪ t̪ u m 
#sˌɑkrɑmˈɛn̪t̪ʊm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#sˌɑkrɑmˈɛn̪t̪om# | Rule 67 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#sˌɑkrɑmˈɛn̪t̪o# | Rule 72 : [+nas,+cons] > ∅ / [-stres] __ #
#sˌɑxrɑmˈɛn̪t̪o# | Rule 119 : [+hi,+back,-cont] > [+cont,0delrel] / [-cons] __ [+cor,+cons]
#sˌaxramˈɛn̪t̪o# | Rule 202 : [+lo] > [+front,-back] 
#sˌaçramˈɛn̪t̪o# | Rule 211 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#sˌaçrʲamˈɛn̪t̪o# | Rule 219 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌarʲamˈɛn̪t̪o# | Rule 250 : [+hi,+front,-lat,-syl] > ∅ / __ rʲ
#sˌarʲamˈɛn̪t̪ə# | Rule 273 : [-stres,-lo,+syl] > ə / __ #
#sˌarʲamˈɛn̪t̪ə̯# | Rule 281 : ə > ə̯ 
#sˌarʲamˈɛn̪t̪# | Rule 305 : ə̯ > ∅ 
#sˌajrʲamˈɛn̪t̪# | Rule 356 : ∅ > j / [-cons] __ rʲ
#sˌajramˈɛn̪t̪# | Rule 394 : rʲ > r 
#sˌajrəmˈɛn̪t̪# | Rule 451 : a > ə / [+syl] ( [-syl] )* __ 
#sˌajrəmˈɛ̃n̪t̪# | Rule 530 : [+front,-hi,+syl] > [+nas,+son,0delrel] / __ [+nas,-syl]
#sˌajrəmˈãn̪t̪# | Rule 584 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,0delrel] / __ [+cons]
#sˌɛjrəmˈãn̪t̪# | Rule 621 : [+lo] > [-lo,-tense,-cons,-lat,+cont,0delrel] / __ j [+cons]
#sˌɛjrə̃mˈãn̪t̪# | Rule 628 : [+syl,-front] > [+nas,+son,0delrel] / __ [+nas,-syl]
#sˌɛjrəmˈãn̪t̪# | Rule 640 : ə̃ > ə 
#sˌɛrəmˈãn̪t̪# | Rule 642 : j > ∅ / [-round,-tense,+stres] __ [+cons]
#sˌɛrə̃mˈãn̪t̪# | Rule 650 : [+syl,-hi] > [+nas,+son,0delrel] / __ [+nas,+cons]
#sˌɛrəmˈãn̪t̪# | Rule 652 : {ə̃;ˌə̃} > {ə;ˌə} 
#sˌɛrəmˈãːt̪# | Rule 670 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sˌɛrmˈãːt̪# | Rule 715 : ə > ∅ / [+stres] [+cor,+son,+cons] __ [+cons] ( [-syl] )* [+stres]
#sˌɛrmˈɑ̃ːt̪# | Rule 718 : [+lo,+long,+syl] > [+back,-front] 
#sˌɛɹmˈɑ̃ːt̪# | Rule 730 : r > ɹ / [-cons] __ [+cons]
#sˌɛɹmˈɑ̃ː# | Rule 737 : [-son] > ∅ / __ #
#sˌɛrmˈɑ̃ː# | Rule 753 : ɹ > r 
#sˌɛʀmˈɑ̃ː# | Rule 755 : r > ʀ 
#sɛʀmɑ̃ː# | Rule 756 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#sɛʀmɑ̃# | Rule 757 : [+syl,+long] > [-long,-splng] 
#sɛʁmɑ̃# | Rule 763 : ʀ > ʁ 
