Trajectory file for run 'run1'; etymon number :580:
#lˌɑːt̪roːkˈin̪ium# >>> #laʁsɛ̃# ( Correct : #laʁsɛ̃#) :
l ˌɑː t̪ r oː k ˈi n̪ i u m 
#lˌɑːt̪roːkˈɪn̪ɪʊm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#lˌɑːt̪roːkˈɪn̪jʊm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#lˌɑːt̪roːkˈɪn̪ʝʊm# | Rule 26 : j > ʝ / __ [+syl]
#lˌɑt̪rokˈɪn̪ʝʊm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#lˌɑt̪rokˈen̪ʝom# | Rule 67 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#lˌɑt̪rokˈen̪ʝo# | Rule 72 : [+nas,+cons] > ∅ / [-stres] __ #
#lˌɑt̪rokʲˈen̪ʝo# | Rule 79 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#lˌɑt̪rocˈen̪ʝo# | Rule 80 : [+back,+front] > [-back] 
#lˌɑt̪rocˈeɲo# | Rule 93 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#lˌɑt̪rocˈeːɲo# | Rule 113 : [+prim] > [+long] / __ [+cons] [-cons]
#lˌɑt̪rocˈiːɲo# | Rule 166 : ˈeː > ˈiː / [+cons,+hi,+front] __ 
#lˌɑt̪rot͡sʲˈiːɲo# | Rule 185 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#lˌat̪rot͡sʲˈiːɲo# | Rule 202 : [+lo] > [+front,-back] 
#lˌat̪rət͡sʲˈiːɲo# | Rule 272 : [-stres,-lo,+syl] > ə / __ [-syl]
#lˌat̪rət͡sʲˈiːɲə# | Rule 273 : [-stres,-lo,+syl] > ə / __ #
#lˌat̪rə̯t͡sʲˈiːɲə̯# | Rule 281 : ə > ə̯ 
#lˌat̪rət͡sʲˈiːɲə̯# | Rule 288 : ə̯ > ə / [+stres] ( [-syl] )* [+distr] [-distr,+son] __ 
#lˌat̪rət͡sʲˈiːɲ# | Rule 305 : ə̯ > ∅ 
#lˌat̪rt̪t͡sʲˈiːɲ# | Rule 318 : ə > t̪ / r __ [+delrel,-voi]
#lˌart̪t͡sʲˈiːɲ# | Rule 319 : t̪ > ∅ / __ r t̪ [+delrel]
#lˌart̪t͡sʲˈiɲ# | Rule 416 : [+syl] > [-long,-splng] / __ ɲ
#lˌart͡sʲˈiɲ# | Rule 483 : [+cons] > ∅ / [+cons] __ [-son]
#lˌart͡sʲˈij̃ɲ# | Rule 527 : ∅ > j̃ / [+tense,+syl] __ ɲ #
#lˌart͡sʲˈiɲ# | Rule 534 : [-syl,-cons,+hi,-round] > ∅ / ˈi __ 
#lˌart͡sʲˈĩɲ# | Rule 639 : [+syl] > [+nas,+son,0delrel] / __ [+nas,+cons]
#lˌarsʲˈĩɲ# | Rule 647 : [+delrel] > [+cont,0delrel] 
#lˌarsʲˈẽɲ# | Rule 666 : [+nas,+front,-round,-lo,+syl] > [-hi] 
#lˌarsʲˈẽː# | Rule 671 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#lˌarsˈẽː# | Rule 675 : [+ant,+front] > [-front,-hi] 
#lˌarsˈɛ̃ː# | Rule 681 : [+front,-lo,+nas,+syl,-round] > [-hi,-tense,-cons,-lat,+cont,0delrel] / [+cons] __ 
#lˌaɹsˈɛ̃ː# | Rule 730 : r > ɹ / [-cons] __ [+cons]
#lˌarsˈɛ̃ː# | Rule 753 : ɹ > r 
#lˌaʀsˈɛ̃ː# | Rule 755 : r > ʀ 
#laʀsɛ̃ː# | Rule 756 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#laʀsɛ̃# | Rule 757 : [+syl,+long] > [-long,-splng] 
#laʁsɛ̃# | Rule 763 : ʀ > ʁ 
