Trajectory file for run 'run1'; etymon number :1052:
#sˌɑkrɑmˈen̪t̪um# >>> #sɛʁmɑ̃# ( Correct : #sɛʁmɑ̃#) :
s ˌɑ k r ɑ m ˈe n̪ t̪ u m 
#sˌɑkrɑmˈɛn̪t̪ʊm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#sˌɑkrɑmˈɛn̪t̪om# | Rule 69 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#sˌɑkrɑmˈɛn̪t̪o# | Rule 74 : [+nas,+cons] > ∅ / [-stres] __ #
#sˌɑxrɑmˈɛn̪t̪o# | Rule 121 : [+hi,+back,-cont] > [+cont,0delrel] / [-cons] __ [+cor,+cons]
#sˌaxramˈɛn̪t̪o# | Rule 205 : [+lo] > [+front,-back] 
#sˌaçramˈɛn̪t̪o# | Rule 214 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#sˌaçrʲamˈɛn̪t̪o# | Rule 222 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌarʲamˈɛn̪t̪o# | Rule 253 : [+hi,+front,-lat,-syl] > ∅ / __ rʲ
#sˌarʲamˈɛn̪t̪ə# | Rule 275 : [-stres,-lo,+syl] > ə / __ #
#sˌarʲamˈɛn̪t̪ə̯# | Rule 283 : ə > ə̯ 
#sˌarʲamˈɛn̪t̪# | Rule 307 : ə̯ > ∅ 
#sˌajrʲamˈɛn̪t̪# | Rule 358 : ∅ > j / [-cons] __ rʲ
#sˌajramˈɛn̪t̪# | Rule 396 : rʲ > r 
#sˌajrəmˈɛn̪t̪# | Rule 454 : a > ə / [+syl] ( [-syl] )* __ 
#sˌajrəmˈɛ̃n̪t̪# | Rule 535 : [+front,-hi,+syl] > [+nas,+son,0delrel] / __ [+nas,-syl]
#sˌajrəmˈãn̪t̪# | Rule 585 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,0delrel] / __ [+cons]
#sˌɛjrəmˈãn̪t̪# | Rule 628 : [+lo] > [-lo,-tense,-cons,-lat,+cont,0delrel] / __ j [+cons]
#sˌɛjrə̃mˈãn̪t̪# | Rule 635 : [+syl,-front] > [+nas,+son,0delrel] / __ [+nas,-syl]
#sˌɛjrəmˈãn̪t̪# | Rule 647 : ə̃ > ə 
#sˌɛːrəmˈãn̪t̪# | Rule 649 : {ˌɛ j;ˌɛː j;ˈɛ j;ˈɛː j} > {ˌɛː;ˌɛː;ˈɛː;ˈɛː} / __ [+cons]
#sˌɛːrə̃mˈãn̪t̪# | Rule 660 : [+syl,-hi] > [+nas,+son,0delrel] / __ [+nas,+cons]
#sˌɛːrəmˈãn̪t̪# | Rule 662 : {ə̃;ˌə̃} > {ə;ˌə} 
#sˌɛːrəmˈãːt̪# | Rule 676 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sˌɛːrmˈãːt̪# | Rule 720 : ə > ∅ / [+stres] [+cor,+son,+cons] __ [+cons] ( [-syl] )* [+stres]
#sˌɛːrmˈɑ̃ːt̪# | Rule 723 : [+lo,+long,+syl] > [+back,-front] 
#sˌɛːɹmˈɑ̃ːt̪# | Rule 735 : r > ɹ / [-cons] __ [+cons]
#sˌɛːɹmˈɑ̃ː# | Rule 742 : [-son] > ∅ / __ #
#sˌɛːrmˈɑ̃ː# | Rule 758 : ɹ > r 
#sˌɛːʀmˈɑ̃ː# | Rule 760 : r > ʀ 
#sɛːʀmɑ̃ː# | Rule 761 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#sɛʀmɑ̃# | Rule 762 : [+syl,+long] > [-long,-splng] 
#sɛʁmɑ̃# | Rule 768 : ʀ > ʁ 
