Trajectory file for run 'run1'; etymon number :61:
#ˈɑn̪n̪oːs# >>> #ɑ̃# ( Correct : #ɑ̃#) :
ˈɑ n̪ n̪ oː s 
#ˈɑn̪n̪os# | Rule 58 : [+syl,+long] > [-long,-splng] 
#ˈan̪n̪os# | Rule 205 : [+lo] > [+front,-back] 
#ˈan̪n̪əs# | Rule 275 : [-stres,-lo,+syl] > ə / __ [-syl]
#ˈan̪n̪ə̯s# | Rule 284 : ə > ə̯ 
#ˈan̪n̪s# | Rule 308 : ə̯ > ∅ 
#ˈan̪s# | Rule 477 : [+cons] > ∅ / [+cons] __ [-son]
#ˈãn̪s# | Rule 510 : [+lo] > [+nas,+son,0delrel] / __ [+nas,-syl]
#ˈæ̃n̪s# | Rule 524 : [+nas,+front,-hi,+syl] > [-tense,-cons,-lat,+cont,0delrel] / __ [+nas,+cons]
#ˈãn̪s# | Rule 577 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,0delrel] / __ [+cons]
#ˈãːs# | Rule 668 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#ˈɑ̃ːs# | Rule 715 : [+lo,+long,+syl] > [+back,-front] 
#ˈɑ̃ː# | Rule 734 : [-son] > ∅ / __ #
#ɑ̃ː# | Rule 753 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#ɑ̃# | Rule 754 : [+syl,+long] > [-long,-splng] 
