Trajectory file for run 'run1'; etymon number :678:
#mˌerkɑt̪ˈɑn̪t̪em# >>> #maʁʃɑ̃# ( Correct : #maʁʃɑ̃#) :
m ˌe r k ɑ t̪ ˈɑ n̪ t̪ e m 
#mˌɛrkɑt̪ˈɑn̪t̪ɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#mˌɛrkɑt̪ˈɑn̪t̪ɛ# | Rule 70 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#mˌɛrkɑt̪ˈɑ?t̪ɛ# | Rule 101 : [+ant,+cons] > [-voi] / __ t̪
#mˌɛrkat̪ˈa?t̪ɛ# | Rule 190 : [+lo,+syl] > [+front,-back] 
#mˌɛrkʲat̪ˈa?t̪ɛ# | Rule 232 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#mˌɛrcat̪ˈa?t̪ɛ# | Rule 243 : [+back,+front] > [-back] 
#mˌɛrt͡ʃat̪ˈa?t̪ɛ# | Rule 252 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#mˌɛrt͡ʃat̪ˈa?t̪ə# | Rule 264 : [-stres,-lo,+syl] > ə / __ #
#mˌɛrt͡ʃat̪ˈa?t̪ə̯# | Rule 266 : ə > ə̯ 
#mˌɛrt͡ʃat̪ˈa?t̪# | Rule 300 : ə̯ > ∅ 
#mˌɛrt͡ʃad̪ˈa?t̪# | Rule 352 : [-voi] > [+voi] / [-cons] __ [-cons]
#mˌɛrt͡ʃaðˈa?t̪# | Rule 373 : [-delrel,+voi] > [+cont,.delrel] / [-cons] __ [-cons]
#mˌɨrt͡ʃaðˈa?t̪# | Rule 406 : {ˌɛ r;ˌɛ ɫ;t͡sʲ ˌɛ;ˌɔ ɫ} > {ˌɨ r;ˌɨ ɫ;t͡sʲ ˌɨ;ˌɯ ɫ} / __ [+cons]
#mˌɛrt͡ʃaðˈa?t̪# | Rule 414 : {ˌɨ;ˌɯ} > {ˌɛ;ˌɔ} 
#mˌɛrt͡ʃəðˈa?t̪# | Rule 426 : a > ə / [+syl] ( [-syl] )* __ 
#mˌɛrt͡ʃəðˈã?t̪# | Rule 488 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#mˌart͡ʃəðˈã?t̪# | Rule 567 : ˌɛ > ˌa / [+lab,-strid,+cons] __ r [+cons] [-stres]
#mˌart͡ʃəˈã?t̪# | Rule 575 : {θ;ð} > {∅;∅} 
#mˌart͡ʃə̃ˈã?t̪# | Rule 587 : [+syl,-front] > [+nas,+son,.delrel] / __ [+nas]
#mˌart͡ʃəˈã?t̪# | Rule 602 : ə̃ > ə 
#mˌarʃəˈã?t̪# | Rule 611 : [+delrel] > [+cont,.delrel] 
#mˌarʃəˈãː?t̪# | Rule 636 : [+stres] > [+long] / ə __ 
#mˌarʃˈãː?t̪# | Rule 637 : ə > ∅ / __ [+syl]
#mˌarʃˈɑ̃ː?t̪# | Rule 665 : [+lo,+long,+syl] > [+back,-front] 
#mˌarʃˈɑ̃ːt̪# | Rule 666 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#mˌaɹʃˈɑ̃ːt̪# | Rule 682 : r > ɹ / [-cons] __ [+cons]
#mˌaɹʃˈɑ̃ː# | Rule 686 : [-son] > ∅ / __ #
#mˌarʃˈɑ̃ː# | Rule 695 : ɹ > r 
#mˌaʀʃˈɑ̃ː# | Rule 697 : r > ʀ 
#maʀʃɑ̃ː# | Rule 698 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#maʀʃɑ̃# | Rule 699 : [+syl,+long] > [-long,-splng] 
#maʁʃɑ̃# | Rule 705 : ʀ > ʁ 
