Trajectory file for run 'run1'; etymon number :600:
#lˈiːn̪um# >>> #lɛ̃# ( Correct : #lɛ̃#) :
l ˈiː n̪ u m 
#lˈiːn̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#lˈin̪ʊm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#lˈin̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#lˈin̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#lˈiːn̪o# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#lˈiːn̪ə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#lˈiːn̪ə̯# | Rule 268 : ə > ə̯ 
#lˈiːn̪# | Rule 302 : ə̯ > ∅ 
#lˈĩːn̪# | Rule 608 : [+syl] > [+nas,+son,.delrel] / __ [+nas,+cons]
#lˈɛ̃ːn̪# | Rule 630 : [+nas,+front,-round,-lo,+syl] > [-hi,-tense,-cons,-lat,+cont,.delrel] 
#lˈɛ̃ː# | Rule 678 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#lɛ̃ː# | Rule 710 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#lɛ̃# | Rule 711 : [+syl,+long] > [-long,-splng] 
