Trajectory file for run 'run1'; etymon number :377:
#iˌuwen̪kˈellɑm# >>> #ʒuvə̃sɛl# ( Correct : #ʒuvɑ̃sɛl#) :
i ˌu w e n̪ k ˈe l l ɑ m 
#iˌuweŋkˈellɑm# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#iˌuɣʷeŋkˈellɑm# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɪˌʊɣʷɛŋkˈɛllɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#jˌʊɣʷɛŋkˈɛllɑm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#ʝˌʊɣʷɛŋkˈɛllɑm# | Rule 28 : j > ʝ / __ [+syl]
#ʝˌʊβʷɛŋkˈɛllɑm# | Rule 49 : ɣʷ > βʷ 
#ʝˌoβʷɛŋkˈɛllɑm# | Rule 63 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ʝˌoβʷɛŋkˈɛllɑ# | Rule 68 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#ʝˌoβʷɛŋkʲˈɛllɑ# | Rule 73 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#ʝˌoβʷɛŋcˈɛllɑ# | Rule 74 : [+back,+front] > [-back] 
#ʝˌoβɛŋcˈɛllɑ# | Rule 119 : {βʷ;ɸʷ} > {β;ɸ} 
#ʝˌoβɛŋt͡sʲˈɛllɑ# | Rule 165 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#ʝˌoβɛŋt͡sʲˈɛlla# | Rule 178 : [+lo,+syl] > [+front,-back] 
#ɟˌoβɛŋt͡sʲˈɛlla# | Rule 226 : [+hi,-syl,+cont] > [-cont,-son,-delrel,+cons,.tense] / # __ [+syl]
#d͡ʒˌoβɛŋt͡sʲˈɛlla# | Rule 229 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#d͡ʒˌoβəŋt͡sʲˈɛlla# | Rule 238 : [-stres,-lo,+syl] > ə / __ [-syl]
#d͡ʒˌoβə̯ŋt͡sʲˈɛlla# | Rule 241 : ə > ə̯ 
#d͡ʒˌoβəŋt͡sʲˈɛlla# | Rule 245 : ə̯ > ə / __ ŋ t͡sʲ
#d͡ʒˌovəŋt͡sʲˈɛlla# | Rule 365 : β > v 
#d͡ʒˌovəŋt͡sʲˈɛllə# | Rule 371 : a > ə / [+syl] ( [-syl] )* __ 
#d͡ʒˌovəŋt͡sʲˈɛlə# | Rule 418 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ} 
#d͡ʒˌovəŋt͡sˈɛlə# | Rule 429 : t͡sʲ > t͡s 
#d͡ʒˌuvəŋt͡sˈɛlə# | Rule 455 : [+round,+tense,+back] > [+hi] 
#d͡ʒˌuvə̃ŋt͡sˈɛlə# | Rule 491 : [+syl,-front] > [+nas,+son,.delrel] / __ [+nas]
#d͡ʒˌuvəŋt͡sˈɛlə# | Rule 506 : ə̃ > ə 
#ʒˌuvəŋsˈɛlə# | Rule 515 : [+delrel] > [+cont,.delrel] 
#ʒˌuvə̃ŋsˈɛlə# | Rule 518 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas,+cons]
#ʒˌuv?sˈɛlə# | Rule 571 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#ʒˌuv?sˈɛlə̯# | Rule 585 : ə > ə̯ / __ #
#ʒˌuv?sˈɛl# | Rule 592 : ə̯ > ∅ 
#ʒuv?sɛl# | Rule 603 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʒuvə̃sɛl# | Rule 604 : [+syl,+long] > [-long,-splng] 
