Trajectory file for run 'run1'; etymon number :856:
#pˌerpet̪ˈɑːn̪eum# >>> #paʁpɛ̃# ( Correct : #paʁpɛ̃#) :
p ˌe r p e t̪ ˈɑː n̪ e u m 
#pˌɛrpɛt̪ˈɑːn̪ɛʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#pˌɛrpɛt̪ˈɑːn̪jʊm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#pˌɛrpɛt̪ˈɑːn̪ʝʊm# | Rule 28 : j > ʝ / __ [+syl]
#pˌɛrpɛt̪ˈɑn̪ʝʊm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#pˌɛrpɛt̪ˈɑn̪ʝom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#pˌɛrpɛt̪ˈɑn̪ʝo# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#pˌɛrpɛt̪ˈɑɲo# | Rule 88 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#pˌɛrpɛt̪ˈɑːɲo# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#pˌɛrpɛt̪ˈaːɲo# | Rule 198 : [+lo,+syl] > [+front,-back] 
#pˌɛrpət̪ˈaːɲo# | Rule 267 : [+syl,-stres,-lo] > ə / __ [-syl] ( [-syl] )* [+syl,+lo,+prim]
#pˌɛrpət̪ˈaːɲə# | Rule 269 : [-stres,-lo,+syl] > ə / __ #
#pˌɛrpə̯t̪ˈaːɲə̯# | Rule 271 : ə > ə̯ 
#pˌɛrpət̪ˈaːɲə̯# | Rule 283 : ə̯ > ə / [+cons] p __ [-cont] ( [-syl] )* [+prim]
#pˌɛrpət̪ˈaːɲ# | Rule 306 : ə̯ > ∅ 
#pˌɛrpəd̪ˈaːɲ# | Rule 358 : [-voi] > [+voi] / [-cons] __ [-cons]
#pˌɛrpəðˈaːɲ# | Rule 382 : [-delrel,+voi] > [+cont,.delrel] / [-cons] __ [-cons]
#pˌɛrpəðˈaɲ# | Rule 408 : [+syl] > [-long,-splng] / __ ɲ
#pˌɨrpəðˈaɲ# | Rule 419 : {ˌɛ r;ˌɛ ɫ;t͡sʲ ˌɛ;ˌɔ ɫ} > {ˌɨ r;ˌɨ ɫ;t͡sʲ ˌɨ;ˌɯ ɫ} / __ [+cons]
#pˌɛrpəðˈaɲ# | Rule 427 : {ˌɨ;ˌɯ} > {ˌɛ;ˌɔ} 
#pˌɛrpəðˈãɲ# | Rule 500 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#pˌɛrpəðˈãj̃ɲ# | Rule 554 : ∅ > j̃ / [+lo,+syl] __ ɲ #
#pˌɛrpəðˈɛ̃j̃ɲ# | Rule 573 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j̃
#pˌarpəðˈɛ̃j̃ɲ# | Rule 583 : ˌɛ > ˌa / [+lab,-strid,+cons] __ r p
#pˌarpəˈɛ̃j̃ɲ# | Rule 592 : {θ;ð} > {∅;∅} 
#pˌarpəˈɛ̃j̃n̪# | Rule 622 : ɲ > n̪ / __ #
#pˌarpəˈɛ̃n̪# | Rule 638 : j̃ > ∅ / [+nas,+front,-tense] __ 
#pˌarpəˈɛ̃ː# | Rule 642 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#pˌarpˈɛ̃ː# | Rule 666 : ə > ∅ / __ [+syl]
#pˌaɹpˈɛ̃ː# | Rule 701 : r > ɹ / [-cons] __ [+cons]
#pˌarpˈɛ̃ː# | Rule 715 : ɹ > r 
#pˌaʀpˈɛ̃ː# | Rule 717 : r > ʀ 
#paʀpɛ̃ː# | Rule 718 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#paʀpɛ̃# | Rule 719 : [+syl,+long] > [-long,-splng] 
#paʁpɛ̃# | Rule 725 : ʀ > ʁ 
