Trajectory file for run 'run1'; etymon number :1031:
#sˌɑkrɑmˈen̪t̪um# >>> #sɛʁə̃mɑ̃# ( Correct : #sɛʁmɑ̃#) :
s ˌɑ k r ɑ m ˈe n̪ t̪ u m 
#sˌɑkrɑmˈɛn̪t̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˌɑkrɑmˈɛn̪t̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#sˌɑkrɑmˈɛn̪t̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#sˌɑkrɑmˈɛ?t̪o# | Rule 101 : [+ant,+cons] > [-voi] / __ t̪
#sˌɑxrɑmˈɛ?t̪o# | Rule 115 : [+hi,+back,-cont] > [+cont,.delrel] / [-cons] __ [+cor,+cons]
#sˌaxramˈɛ?t̪o# | Rule 190 : [+lo,+syl] > [+front,-back] 
#sˌaçramˈɛ?t̪o# | Rule 198 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#sˌaçrʲamˈɛ?t̪o# | Rule 209 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌarʲamˈɛ?t̪o# | Rule 242 : [+hi,+front,-lat,-syl] > ∅ / __ rʲ
#sˌarʲamˈɛ?t̪ə# | Rule 264 : [-stres,-lo,+syl] > ə / __ #
#sˌarʲamˈɛ?t̪ə̯# | Rule 266 : ə > ə̯ 
#sˌarʲamˈɛ?t̪# | Rule 300 : ə̯ > ∅ 
#sˌajrʲamˈɛ?t̪# | Rule 348 : ∅ > j / [-cons] __ rʲ
#sˌajramˈɛ?t̪# | Rule 380 : rʲ > r 
#sˌajrəmˈɛ?t̪# | Rule 429 : a > ə / [+syl] ( [-syl] )* __ 
#sˌajrəmˈɛ̃?t̪# | Rule 504 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#sˌajrəmˈã?t̪# | Rule 555 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,.delrel] / __ [+cons]
#sˌɛjrəmˈã?t̪# | Rule 584 : [+lo,+syl] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j [+cons]
#sˌɛjrə̃mˈã?t̪# | Rule 590 : [+syl,-front] > [+nas,+son,.delrel] / __ [+nas]
#sˌɛjrəmˈã?t̪# | Rule 605 : ə̃ > ə 
#sˌɛːrəmˈã?t̪# | Rule 608 : {ˌɛ j;ˌɛː j;ˈɛ j;ˈɛː j} > {ˌɛː;ˌɛː;ˈɛː;ˈɛː} / __ [+cons]
#sˌɛːrə̃mˈã?t̪# | Rule 617 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas,+cons]
#sˌɛːrə̃mˈãːt̪# | Rule 670 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sˌɛːrə̃mˈãː# | Rule 690 : [-son] > ∅ / __ #
#sˌɛːʀə̃mˈãː# | Rule 701 : r > ʀ 
#sɛːʀə̃mãː# | Rule 702 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#sɛʀə̃mã# | Rule 703 : [+syl,+long] > [-long,-splng] 
#sɛʀə̃mɑ̃# | Rule 708 : {ã;ãː} > {ɑ̃;ɑ̃ː} 
#sɛʁə̃mɑ̃# | Rule 709 : ʀ > ʁ 
