Trajectory file for run 'run1'; etymon number :567:
#lˌɑːt̪roːkˈin̪ium# >>> #laʁsɛ̃# ( Correct : #laʁsɛ̃#) :
l ˌɑː t̪ r oː k ˈi n̪ i u m 
#lˌɑːt̪roːkˈɪn̪ɪʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#lˌɑːt̪roːkˈɪn̪jʊm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#lˌɑːt̪roːkˈɪn̪ʝʊm# | Rule 28 : j > ʝ / __ [+syl]
#lˌɑːt̪rokˈɪn̪ʝʊm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#lˌɑt̪rokˈɪn̪ʝʊm# | Rule 56 : [+syl,+long] > [-long,-splng] 
#lˌɑt̪rokˈen̪ʝom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#lˌɑt̪rokˈen̪ʝo# | Rule 70 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#lˌɑt̪rokʲˈen̪ʝo# | Rule 75 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#lˌɑt̪rocˈen̪ʝo# | Rule 76 : [+back,+front] > [-back] 
#lˌɑt̪rocˈeɲo# | Rule 87 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#lˌɑt̪rocˈeːɲo# | Rule 110 : [+prim] > [+long] / __ [+cons] [-cons]
#lˌɑt̪rocˈiːɲo# | Rule 160 : ˈeː > ˈiː / [+cons,+hi,+front] __ 
#lˌɑt̪rot͡sʲˈiːɲo# | Rule 177 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#lˌat̪rot͡sʲˈiːɲo# | Rule 193 : [+lo,+syl] > [+front,-back] 
#lˌat̪rət͡sʲˈiːɲo# | Rule 262 : [-stres,-lo,+syl] > ə / __ [-syl]
#lˌat̪rət͡sʲˈiːɲə# | Rule 263 : [-stres,-lo,+syl] > ə / __ #
#lˌat̪rə̯t͡sʲˈiːɲə̯# | Rule 265 : ə > ə̯ 
#lˌat̪rət͡sʲˈiːɲə̯# | Rule 266 : ə̯ > ə / [+stres] ( [-syl] )* [-son] r __ ( [-syl] )* [+stres]
#lˌat̪rət͡sʲˈiːɲ# | Rule 299 : ə̯ > ∅ 
#lˌat̪rt̪t͡sʲˈiːɲ# | Rule 310 : ə > t̪ / r __ [+delrel,-voi]
#lˌart̪t͡sʲˈiːɲ# | Rule 311 : t̪ > ∅ / __ r t̪ [+delrel]
#lˌart̪t͡sʲˈiɲ# | Rule 400 : [+syl] > [-long,-splng] / __ ɲ
#lˌart͡sʲˈiɲ# | Rule 453 : [+cons] > ∅ / [+cons] __ [-son]
#lˌart͡sˈiɲ# | Rule 525 : t͡sʲ > t͡s / [-nas] __ 
#lˌart͡sˈĩɲ# | Rule 604 : [+syl] > [+nas,+son,.delrel] / __ [+nas,+cons]
#lˌart͡sˈĩn̪# | Rule 613 : ɲ > n̪ / __ #
#lˌarsˈĩn̪# | Rule 614 : [+delrel] > [+cont,.delrel] 
#lˌarsˈɛ̃n̪# | Rule 623 : [+nas,+front,-round,-lo,+syl] > [-hi,-tense,-cons,-lat,+cont,.delrel] 
#lˌarsˈɛ̃ː# | Rule 671 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#lˌaɹsˈɛ̃ː# | Rule 686 : r > ɹ / [-cons] __ [+cons]
#lˌarsˈɛ̃ː# | Rule 700 : ɹ > r 
#lˌaʀsˈɛ̃ː# | Rule 702 : r > ʀ 
#laʀsɛ̃ː# | Rule 703 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#laʀsɛ̃# | Rule 704 : [+syl,+long] > [-long,-splng] 
#laʁsɛ̃# | Rule 710 : ʀ > ʁ 
