Trajectory file for run 'run1'; etymon number :858:
#pˌerpet̪ˈɑːn̪eum# >>> #pɛʁt̪ɛ̃# ( Correct : #paʁpɛ̃#) :
p ˌe r p e t̪ ˈɑː n̪ e u m 
#pˌɛrpɛt̪ˈɑːn̪ɛʊm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#pˌɛrpɛt̪ˈɑːn̪jʊm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#pˌɛrpɛt̪ˈɑːn̪ʝʊm# | Rule 27 : j > ʝ / __ [+syl]
#pˌɛrpɛt̪ˈɑn̪ʝʊm# | Rule 50 : [+syl,+long] > [-long,-splng] 
#pˌɛrpɛt̪ˈɑn̪ʝom# | Rule 59 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#pˌɛrpɛt̪ˈɑn̪ʝo# | Rule 64 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#pˌɛrpɛt̪ˈɑɲo# | Rule 80 : [+nas,+cor] [+hi,+front,-syl,+voi,+cont] > ɲ
#pˌɛrpɛt̪ˈɑːɲo# | Rule 99 : [+prim] > [+long] / __ [+cons] [-cons]
#pˌɛrpɛt̪ˈaːɲo# | Rule 171 : [+lo,+syl] > [+front,-back] 
#pˌɛrpət̪ˈaːɲo# | Rule 228 : [+syl,-stres,-lo] > ə / __ [-syl] ( [-syl] )* [+syl,+lo,+prim]
#pˌɛrpət̪ˈaːɲə# | Rule 230 : [-stres,-lo,+syl] > ə / __ #
#pˌɛrpə̯t̪ˈaːɲə̯# | Rule 232 : ə > ə̯ 
#pˌɛrpt̪ˈaːɲ# | Rule 256 : ə̯ > ∅ 
#pˌɛrt̪t̪ˈaːɲ# | Rule 274 : [+lab,-nas,-round,+cons] > t̪ / __ [-cont,+cor,-voi]
#pˌɛrt̪ˈaːɲ# | Rule 278 : {d̪ d̪;t̪ t̪;t̪ t͡s;d̪ d͡ʒ;t̪ t͡ʃ;ɟ ɟ;c c;ɡ ɡ;k k} > {d̪;t̪;t͡s;d͡ʒ;t͡ʃ;ɟ;c;ɡ;k} / [+cons] __ 
#pˌɛrt̪ˈae̯ɲ# | Rule 329 : {ˈaː;ˈeː;ˈoː;ˈɛː} > {ˈa e̯;ˈe j;ˈo w;ˈi e̯} 
#pˌert̪ˈae̯ɲ# | Rule 332 : {ˌɛ;ˌɔ} > {ˌe;ˌo} 
#pˌert̪ˈeːɲ# | Rule 361 : {a e̯;ˌa e̯;ˈa e̯} > {eː;ˌeː;ˈeː} 
#pˌert̪ˈẽːɲ# | Rule 407 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#pˌert̪ˈẽːj̃ɲ# | Rule 427 : ∅ > j̃ / [-round,-hi,-lo,+tense,+front] __ ɲ #
#pˌert̪ˈɛ̃ːj̃ɲ# | Rule 432 : [+front,-hi,-lo,+syl,+nas] > [-tense,-cons,-lat,+cont,.delrel] 
#pˌert̪ˈæ̃ːj̃ɲ# | Rule 437 : [+nas,-hi,+syl] > [+lo] 
#pˌert̪ˈɛ̃ːj̃ɲ# | Rule 455 : [+lo,+nas] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j̃
#pˌert̪ˈɛ̃ːj̃n̪# | Rule 483 : ɲ > n̪ / __ #
#pˌert̪ˈɛ̃ːn̪# | Rule 494 : j̃ > ∅ / [+nas,+front,-tense] __ 
#pˌɛrt̪ˈɛ̃ːn̪# | Rule 500 : [-hi,-lo,+syl,+front,-round] > [-tense,-cons,-lat,+cont,.delrel] / __ r [+cons]
#pˌɛrt̪ˈɛ̃ː# | Rule 541 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ #
#pˌɛɹt̪ˈɛ̃ː# | Rule 556 : r > ɹ / [-cons] __ [+cons]
#pˌɛrt̪ˈɛ̃ː# | Rule 569 : ɹ > r 
#pˌɛʀt̪ˈɛ̃ː# | Rule 571 : r > ʀ 
#pɛʀt̪ɛ̃ː# | Rule 572 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#pɛʀt̪ɛ̃# | Rule 573 : [+syl,+long] > [-long,-splng] 
#pɛʁt̪ɛ̃# | Rule 579 : ʀ > ʁ 
