Trajectory file for run 'run1'; etymon number :680:
#mˌerkɑt̪ˈɑn̪t̪em# >>> #mɛʁʃɑ̃# ( Correct : #maʁʃɑ̃#) :
m ˌe r k ɑ t̪ ˈɑ n̪ t̪ e m 
#mˌɛrkɑt̪ˈɑn̪t̪ɛm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#mˌɛrkɑt̪ˈɑn̪t̪ɛ# | Rule 65 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#mˌɛrkɑt̪ˈɑ?t̪ɛ# | Rule 92 : [+ant,+cons] > [-voi] / __ t̪
#mˌɛrkat̪ˈa?t̪ɛ# | Rule 174 : [+lo,+syl] > [+front,-back] 
#mˌɛrkʲat̪ˈa?t̪ɛ# | Rule 205 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#mˌɛrcat̪ˈa?t̪ɛ# | Rule 217 : [+back,+front] > [-back] 
#mˌɛrt͡ʃat̪ˈa?t̪ɛ# | Rule 225 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#mˌɛrt͡ʃat̪ˈa?t̪ə# | Rule 234 : [-stres,-lo,+syl] > ə / __ #
#mˌɛrt͡ʃat̪ˈa?t̪ə̯# | Rule 236 : ə > ə̯ 
#mˌɛrt͡ʃat̪ˈa?t̪# | Rule 261 : ə̯ > ∅ 
#mˌɛrt͡ʃad̪ˈa?t̪# | Rule 305 : [-voi] > [+voi] / [-cons] __ [+syl]
#mˌɛrt͡ʃaðˈa?t̪# | Rule 329 : [-delrel,+voi] > [+cont,.delrel] / [-cons] __ [-cons]
#mˌert͡ʃaðˈa?t̪# | Rule 354 : {ˌɛ;ˌɔ} > {ˌe;ˌo} 
#mˌert͡ʃəðˈa?t̪# | Rule 365 : a > ə / [+syl] ( [-syl] )* __ 
#mˌert͡ʃəðˈã?t̪# | Rule 430 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#mˌert͡ʃəˈã?t̪# | Rule 473 : {θ;ð} > {∅;∅} 
#mˌert͡ʃə̃ˈã?t̪# | Rule 486 : [+syl,-front] > [+nas,+son,.delrel] / __ [+nas]
#mˌert͡ʃəˈã?t̪# | Rule 501 : ə̃ > ə 
#mˌerʃəˈã?t̪# | Rule 510 : [+delrel] > [+cont,.delrel] 
#mˌɛrʃəˈã?t̪# | Rule 526 : [-hi,-lo,+syl,+front,-round] > [-tense,-cons,-lat,+cont,.delrel] / __ r [+cons]
#mˌɛrʃəˈãː?t̪# | Rule 536 : [+stres] > [+long] / ə __ 
#mˌɛrʃˈãː?t̪# | Rule 537 : ə > ∅ / __ [+syl]
#mˌɛrʃˈɑ̃ː?t̪# | Rule 565 : [+lo,+long,+syl] > [+back,-front] 
#mˌɛrʃˈɑ̃ːt̪# | Rule 566 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#mˌɛɹʃˈɑ̃ːt̪# | Rule 582 : r > ɹ / [-cons] __ [+cons]
#mˌɛɹʃˈɑ̃ː# | Rule 586 : [-son] > ∅ / __ #
#mˌɛrʃˈɑ̃ː# | Rule 595 : ɹ > r 
#mˌɛʀʃˈɑ̃ː# | Rule 597 : r > ʀ 
#mɛʀʃɑ̃ː# | Rule 598 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#mɛʀʃɑ̃# | Rule 599 : [+syl,+long] > [-long,-splng] 
#mɛʁʃɑ̃# | Rule 605 : ʀ > ʁ 
