Trajectory file for run 'run1'; etymon number :59:
#ˈɑn̪n̪oːs# >>> #ɑ̃# ( Correct : #ɑ̃#) :
ˈɑ n̪ n̪ oː s 
#ˈɑn̪n̪os# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#ˈan̪n̪os# | Rule 200 : [+lo,+syl] > [+front,-back] 
#ˈan̪n̪əs# | Rule 269 : [-stres,-lo,+syl] > ə / __ [-syl]
#ˈan̪n̪ə̯s# | Rule 272 : ə > ə̯ 
#ˈan̪n̪s# | Rule 307 : ə̯ > ∅ 
#ˈan̪s# | Rule 472 : [+cons] > ∅ / [+cons] __ [-son]
#ˈãn̪s# | Rule 504 : [+lo,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#ˈãːs# | Rule 659 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#ˈɑ̃ːs# | Rule 707 : [+lo,+long,+syl] > [+back,-front] 
#ˈɑ̃ː# | Rule 718 : [-son] > ∅ / __ #
#ɑ̃ː# | Rule 731 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ɑ̃# | Rule 732 : [+syl,+long] > [-long,-splng] 
