Trajectory file for run 'run1'; etymon number :381:
#iˌuwen̪kˈellɑm# >>> #ʒuvɑ̃sɛl# ( Correct : #ʒuvɑ̃sɛl#) :
i ˌu w e n̪ k ˈe l l ɑ m 
#iˌuweŋkˈellɑm# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#iˌuɣʷeŋkˈellɑm# | Rule 4 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɪˌʊɣʷɛŋkˈɛllɑm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#jˌʊɣʷɛŋkˈɛllɑm# | Rule 24 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,0stres,0prim,-cons,-lat,+cont,0delrel] / __ [+syl]
#ʝˌʊɣʷɛŋkˈɛllɑm# | Rule 27 : j > ʝ / __ [+syl]
#ʝˌʊβʷɛŋkˈɛllɑm# | Rule 49 : ɣʷ > βʷ 
#ʝˌoβʷɛŋkˈɛllɑm# | Rule 64 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#ʝˌoβʷɛŋkˈɛllɑ# | Rule 69 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#ʝˌoβʷɛŋkʲˈɛllɑ# | Rule 75 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#ʝˌoβʷɛŋcˈɛllɑ# | Rule 76 : [+back,+front] > [-back] 
#ʝˌoβɛŋcˈɛllɑ# | Rule 159 : {βʷ;ɸʷ} > {β;ɸ} 
#ʝˌoβɛŋt͡sʲˈɛllɑ# | Rule 182 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#ʝˌoβɛŋt͡sʲˈɛlla# | Rule 199 : [+lo,+syl] > [+front,-back] 
#ɟˌoβɛŋt͡sʲˈɛlla# | Rule 253 : [+hi,-syl,+cont] > [-cont,-son,-delrel,+cons,0tense] / # __ [+syl]
#d͡ʒˌoβɛŋt͡sʲˈɛlla# | Rule 256 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#d͡ʒˌoβəŋt͡sʲˈɛlla# | Rule 267 : [-stres,-lo,+syl] > ə / __ [-syl]
#d͡ʒˌoβə̯ŋt͡sʲˈɛlla# | Rule 270 : ə > ə̯ 
#d͡ʒˌoβəŋt͡sʲˈɛlla# | Rule 276 : ə̯ > ə / __ ŋ t͡sʲ
#d͡ʒˌovəŋt͡sʲˈɛlla# | Rule 434 : β > v 
#d͡ʒˌovəŋt͡sʲˈɛllə# | Rule 440 : a > ə / [+syl] ( [-syl] )* __ 
#d͡ʒˌovəŋt͡sʲˈɛlə# | Rule 489 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ;n̪ n̪} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ;n̪} 
#d͡ʒˌoveŋt͡sʲˈɛlə# | Rule 512 : ə > e / __ [+nas,+cons] [-nas,+cons] ( [-syl] )* [+syl]
#d͡ʒˌovẽŋt͡sʲˈɛlə# | Rule 515 : [+front,-hi,+syl] > [+nas,+son,0delrel] / __ [+nas,-syl]
#d͡ʒˌuvẽŋt͡sʲˈɛlə# | Rule 560 : [+round,+tense,+back] > [+hi] 
#d͡ʒˌuvɛ̃ŋt͡sʲˈɛlə# | Rule 569 : [+front,-hi,-lo,+syl,+nas] > [-tense,-cons,-lat,+cont,0delrel] 
#d͡ʒˌuvãŋt͡sʲˈɛlə# | Rule 574 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,0delrel] / __ [+cons]
#ʒˌuvãŋsʲˈɛlə# | Rule 643 : [+delrel] > [+cont,0delrel] 
#ʒˌuvãːsʲˈɛlə# | Rule 662 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#ʒˌuvãːsˈɛlə# | Rule 667 : {sʲ;d̪ʲ;t̪ʲ} > {s;d̪;t̪} 
#ʒˌuvãːsˈɛlə̯# | Rule 702 : ə > ə̯ / __ #
#ʒˌuvɑ̃ːsˈɛlə̯# | Rule 712 : [+lo,+long,+syl] > [+back,-front] 
#ʒˌuvɑ̃ːsˈɛl# | Rule 731 : ə̯ > ∅ 
#ʒuvɑ̃ːsɛl# | Rule 745 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#ʒuvɑ̃sɛl# | Rule 746 : [+syl,+long] > [-long,-splng] 
