Trajectory file for run 'run1'; etymon number :1310:
#wˌest̪iːmˈen̪t̪um# >>> #vɛmæ̃# ( Correct : #vɛt̪mɑ̃#) :
w ˌe s t̪ iː m ˈe n̪ t̪ u m 
#ɣʷˌest̪iːmˈen̪t̪um# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɣʷˌɛst̪iːmˈɛn̪t̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#βʷˌɛst̪iːmˈɛn̪t̪ʊm# | Rule 49 : ɣʷ > βʷ 
#βʷˌɛst̪imˈɛn̪t̪ʊm# | Rule 53 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#βʷˌɛst̪imˈɛn̪t̪om# | Rule 63 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#βʷˌɛst̪imˈɛn̪t̪o# | Rule 68 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#βʷˌɛst̪imˈɛ?t̪o# | Rule 97 : [+ant,+cons] > [-voi] / __ t̪
#βˌɛst̪imˈɛ?t̪o# | Rule 151 : {βʷ;ɸʷ} > {β;ɸ} 
#βˌɛst̪əmˈɛ?t̪o# | Rule 253 : [-stres,-lo,+syl] > ə / __ [-syl]
#βˌɛst̪əmˈɛ?t̪ə# | Rule 254 : [-stres,-lo,+syl] > ə / __ #
#βˌɛst̪ə̯mˈɛ?t̪ə̯# | Rule 256 : ə > ə̯ 
#βˌɛst̪mˈɛ?t̪# | Rule 289 : ə̯ > ∅ 
#βˌɛsd̪mˈɛ?t̪# | Rule 342 : t̪ > d̪ / __ [+nas,+cons]
#βˌesd̪mˈɛ?t̪# | Rule 395 : {ˌɛ;ˌɔ;ˌɨ;ˌɯ} > {ˌe;ˌo;ˌɛ;ˌɔ} 
#vˌesd̪mˈɛ?t̪# | Rule 401 : β > v 
#vˌesmˈɛ?t̪# | Rule 434 : [+cons] > ∅ / [+cons] __ [+nas,+cons]
#vˌezmˈɛ?t̪# | Rule 438 : s > z / __ [+voi,+cons]
#vˌezmˈɛ̃?t̪# | Rule 480 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#vˌeːzmˈɛ̃?t̪# | Rule 482 : [+syl] > [+long] / __ z [+cons]
#vˌeːmˈɛ̃?t̪# | Rule 483 : z > ∅ / __ [+cons]
#vˌeːmˈæ̃?t̪# | Rule 514 : [+nas,-hi,+syl] > [+lo] 
#vˌẽːmˈæ̃?t̪# | Rule 538 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas]
#vˌɛ̃ːmˈæ̃?t̪# | Rule 570 : [+nas,+front,-round,-lo,+syl] > [-hi,-tense,-cons,-lat,+cont,.delrel] 
#vˌɛ̃ːmˈæ̃ːt̪# | Rule 617 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#vˌɛ̃ːmˈæ̃ː# | Rule 637 : [-son] > ∅ / __ #
#vˌɛːmˈæ̃ː# | Rule 641 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#vɛːmæ̃ː# | Rule 649 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#vɛmæ̃# | Rule 650 : [+syl,+long] > [-long,-splng] 
