Trajectory file for run 'run1'; etymon number :1040:
#sˌɑkrɑmˈen̪t̪um# >>> #sɛʁmɑ̃# ( Correct : #sɛʁmɑ̃#) :
s ˌɑ k r ɑ m ˈe n̪ t̪ u m 
#sˌɑkrɑmˈɛn̪t̪ʊm# | Rule 14 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,0delrel] 
#sˌɑkrɑmˈɛn̪t̪om# | Rule 69 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,0delrel] 
#sˌɑkrɑmˈɛn̪t̪o# | Rule 74 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#sˌɑxrɑmˈɛn̪t̪o# | Rule 122 : [+hi,+back,-cont] > [+cont,0delrel] / [-cons] __ [+cor,+cons]
#sˌaxramˈɛn̪t̪o# | Rule 205 : [+lo,+syl] > [+front,-back] 
#sˌaçramˈɛn̪t̪o# | Rule 214 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#sˌaçrʲamˈɛn̪t̪o# | Rule 222 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌarʲamˈɛn̪t̪o# | Rule 253 : [+hi,+front,-lat,-syl] > ∅ / __ rʲ
#sˌarʲamˈɛn̪t̪ə# | Rule 275 : [-stres,-lo,+syl] > ə / __ #
#sˌarʲamˈɛn̪t̪ə̯# | Rule 277 : ə > ə̯ 
#sˌarʲamˈɛn̪t̪# | Rule 311 : ə̯ > ∅ 
#sˌajrʲamˈɛn̪t̪# | Rule 360 : ∅ > j / [-cons] __ rʲ
#sˌajramˈɛn̪t̪# | Rule 394 : rʲ > r 
#sˌajrəmˈɛn̪t̪# | Rule 448 : a > ə / [+syl] ( [-syl] )* __ 
#sˌajrəmˈɛ̃n̪t̪# | Rule 523 : [+front,-hi,+syl] > [+nas,+son,0delrel] / __ [+nas,-syl]
#sˌajrəmˈãn̪t̪# | Rule 580 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,0delrel] / __ [+cons]
#sˌɛjrəmˈãn̪t̪# | Rule 623 : [+lo,+syl] > [-lo,-tense,-cons,-lat,+cont,0delrel] / __ j [+cons]
#sˌɛjrə̃mˈãn̪t̪# | Rule 630 : [+syl,-front] > [+nas,+son,0delrel] / __ [+nas,-syl]
#sˌɛjrəmˈãn̪t̪# | Rule 642 : ə̃ > ə 
#sˌɛːrəmˈãn̪t̪# | Rule 644 : {ˌɛ j;ˌɛː j;ˈɛ j;ˈɛː j} > {ˌɛː;ˌɛː;ˈɛː;ˈɛː} / __ [+cons]
#sˌɛːrə̃mˈãn̪t̪# | Rule 653 : [+syl,-hi] > [+nas,+son,0delrel] / __ [+nas,+cons]
#sˌɛːrəmˈãn̪t̪# | Rule 655 : {ə̃;ˌə̃} > {ə;ˌə} 
#sˌɛːrəmˈãːt̪# | Rule 669 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sˌɛːrmˈãːt̪# | Rule 714 : ə > ∅ / [+stres] [+cor,+son,+cons] __ [+cons] ( [-syl] )* [+stres]
#sˌɛːrmˈɑ̃ːt̪# | Rule 717 : [+lo,+long,+syl] > [+back,-front] 
#sˌɛːɹmˈɑ̃ːt̪# | Rule 729 : r > ɹ / [-cons] __ [+cons]
#sˌɛːɹmˈɑ̃ː# | Rule 736 : [-son] > ∅ / __ #
#sˌɛːrmˈɑ̃ː# | Rule 752 : ɹ > r 
#sˌɛːʀmˈɑ̃ː# | Rule 754 : r > ʀ 
#sɛːʀmɑ̃ː# | Rule 755 : [+stres] > [-stres,-prim,+syl,+son,0delrel] 
#sɛʀmɑ̃# | Rule 756 : [+syl,+long] > [-long,-splng] 
#sɛʁmɑ̃# | Rule 762 : ʀ > ʁ 
