Trajectory file for run 'run1'; etymon number :1307:
#wˌest̪iːmˈen̪t̪um# >>> #vɛmɑ̃# ( Correct : #vɛt̪mɑ̃#) :
w ˌe s t̪ iː m ˈe n̪ t̪ u m 
#ɣʷˌest̪iːmˈen̪t̪um# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɣʷˌɛst̪iːmˈɛn̪t̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#βʷˌɛst̪iːmˈɛn̪t̪ʊm# | Rule 50 : ɣʷ > βʷ 
#βʷˌɛst̪imˈɛn̪t̪ʊm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#βʷˌɛst̪imˈɛn̪t̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#βʷˌɛst̪imˈɛn̪t̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#βʷˌɛst̪imˈɛ?t̪o# | Rule 102 : [+ant,+cons] > [-voi] / __ t̪
#βˌɛst̪imˈɛ?t̪o# | Rule 160 : {βʷ;ɸʷ} > {β;ɸ} 
#βˌɛst̪əmˈɛ?t̪o# | Rule 269 : [-stres,-lo,+syl] > ə / __ [-syl]
#βˌɛst̪əmˈɛ?t̪ə# | Rule 270 : [-stres,-lo,+syl] > ə / __ #
#βˌɛst̪ə̯mˈɛ?t̪ə̯# | Rule 272 : ə > ə̯ 
#βˌɛst̪mˈɛ?t̪# | Rule 307 : ə̯ > ∅ 
#βˌɛsd̪mˈɛ?t̪# | Rule 361 : t̪ > d̪ / __ [+nas,+cons]
#vˌɛsd̪mˈɛ?t̪# | Rule 437 : β > v 
#vˌɛsmˈɛ?t̪# | Rule 474 : [+cons] > ∅ / [+cons] __ [+nas,+cons]
#vˌɛzmˈɛ?t̪# | Rule 478 : s > z / __ [+voi,+cons]
#vˌɛzmˈɛ̃?t̪# | Rule 518 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#vˌɛmˈɛ̃?t̪# | Rule 531 : z > ∅ / __ [+cons]
#vˌɛmˈã?t̪# | Rule 577 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,.delrel] / __ [+cons]
#vˌɛ̃mˈã?t̪# | Rule 625 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas,-syl]
#vˌɛ̃mˈãːt̪# | Rule 662 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#vˌɛmˈãːt̪# | Rule 678 : [+front,-lo,+nas,+syl] > [-nas] / __ [+nas,+cons] [-cons]
#vˌɛmˈɑ̃ːt̪# | Rule 711 : [+lo,+long,+syl] > [+back,-front] 
#vˌɛmˈɑ̃ː# | Rule 726 : [-son] > ∅ / __ #
#vɛmɑ̃ː# | Rule 738 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#vɛmɑ̃# | Rule 739 : [+syl,+long] > [-long,-splng] 
