Trajectory file for run 'run1'; etymon number :1023:
#rˌiwuskˈellum# >>> #ʁwassɛl# ( Correct : #ʁɥiso#) :
r ˌi w u s k ˈe l l u m 
#rˌiɣʷuskˈellum# | Rule 4 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#rˌɪɣʷʊskˈɛllʊm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#rˌɪʊskˈɛllʊm# | Rule 24 : ɣʷ > ∅ / [+syl] __ [+syl,+round,+back]
#rˌeoskˈɛllom# | Rule 48 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#rˌeoskˈɛllo# | Rule 53 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#rˌeoskʲˈɛllo# | Rule 58 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#rˌeoscˈɛllo# | Rule 59 : [+back,+front] > [-back] 
#rˌeosʲcˈɛllo# | Rule 98 : {ŋ;ɫ;s} > {ɲ;lʲ;sʲ} / __ [-cont,+hi,+front]
#rˌeosʲt͡sʲˈɛllo# | Rule 131 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#rˌeəsʲt͡sʲˈɛllə# | Rule 194 : [-stres,-lo,+syl] > ə 
#rˌeə̯sʲt͡sʲˈɛllə̯# | Rule 195 : ə > ə̯ 
#rˌeəsʲt͡sʲˈɛllə̯# | Rule 198 : ə̯ > ə / __ [+front,+cons]
#rˌeəsʲt͡sʲˈɛll# | Rule 207 : ə̯ > ∅ 
#rˌeəjst͡sʲˈɛll# | Rule 250 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ} > {j t̪;j d̪;j s;j z;j r} 
#rˌeəjst͡sʲˈɛl# | Rule 327 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ} 
#rˌeejst͡sʲˈɛl# | Rule 337 : ə > e / __ [+front,+son,+hi,-syl]
#rˌeejst͡sˈɛl# | Rule 338 : t͡sʲ > t͡s 
#rˌəejst͡sˈɛl# | Rule 349 : ˌe > ˌə / __ ( [+cons] ) [-cons]
#rˌəojst͡sˈɛl# | Rule 358 : [+front,+tense,-hi,-lo,+syl] > [+back,-front,+round,+lab] / __ j
#rˌəujst͡sˈɛl# | Rule 362 : [+round,+tense,+back] > [+hi] 
#rˌəuɛ̯st͡sˈɛl# | Rule 404 : j > ɛ̯ / [+syl,+back,+round] __ 
#rˌəwɛst͡sˈɛl# | Rule 407 : {u ɛ̯;ˌu ɛ̯;ˈu ɛ̯;ɔ ɛ̯;ˌɔ ɛ̯;ˈɔ ɛ̯} > {w ɛ;w ˌɛ;w ˈɛ;w ɛ;w ˌɛ;w ˈɛ} 
#rˌəwɛssˈɛl# | Rule 422 : [+delrel] > [+cont,.delrel] 
#ʀˌəwɛssˈɛl# | Rule 509 : r > ʀ 
#ʀəwɛssɛl# | Rule 510 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʀəwassɛl# | Rule 515 : ɛ > a / w __ 
#ʁəwassɛl# | Rule 517 : ʀ > ʁ 
#ʁwassɛl# | Rule 523 : ə > ∅ / # [-syl] __ [-syl] [+syl]
