Trajectory file for run 'run1'; etymon number :938:
#prˈɑe̯st̪ɑm# >>> #pʁɛt̪# ( Correct : #pʁɛt̪#) :
p r ˈɑ e̯ s t̪ ɑ m 
#prˈae̯st̪ɑm# | Rule 4 : [+lo,+syl] > [+front,-back] / __ e̯
#prˈɛːst̪ɑm# | Rule 57 : {a e̯;ˌa e̯;ˈa e̯} > {ɛː;ˌɛː;ˈɛː} 
#prˈɛːst̪ɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#prˈɛst̪ɑ# | Rule 150 : [+syl] > [-long,-splng] / __ [-syl] [+cons,-son]
#prˈɛst̪a# | Rule 200 : [+lo,+syl] > [+front,-back] 
#prˈɛst̪ə# | Rule 443 : a > ə / [+syl] ( [-syl] )* __ 
#prˈɛxt̪ə# | Rule 592 : s > x / [-cons] __ [+cons]
#prˈɛːt̪ə# | Rule 651 : [+syl] x > [+long] ∅/ __ [+cons]
#prˈɛːt̪ə̯# | Rule 700 : ə > ə̯ / __ #
#prˈɛːt̪# | Rule 725 : ə̯ > ∅ 
#pʀˈɛːt̪# | Rule 735 : r > ʀ 
#pʀɛːt̪# | Rule 736 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#pʀɛt̪# | Rule 737 : [+syl,+long] > [-long,-splng] 
#pʁɛt̪# | Rule 743 : ʀ > ʁ 
