Trajectory file for run 'run1'; etymon number :427:
#kˈɑrt̪un̪eːs# >>> #ʃaʁt̪ʁ# ( Correct : #ʃaʁt̪ʁ#) :
k ˈɑ r t̪ u n̪ eː s 
#kˈɑrt̪ʊn̪eːs# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˈɑrt̪ʊn̪es# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#kˈɑrt̪on̪es# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#kˈɑr̥t̪on̪es# | Rule 102 : [+ant,+cons] > [-voi] / __ t̪
#kˈɑrt̪on̪es# | Rule 103 : r̥ > r 
#kˈɑrt̪ũn̪es# | Rule 164 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,.delrel] / __ [+nas,+cons]
#kˈart̪ũn̪es# | Rule 197 : [+lo,+syl] > [+front,-back] 
#kʲˈart̪ũn̪es# | Rule 234 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#cˈart̪ũn̪es# | Rule 245 : [+back,+front] > [-back] 
#t͡ʃˈart̪ũn̪es# | Rule 254 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#t͡ʃˈart̪ən̪es# | Rule 263 : [+syl,-stres,-lo] > ə / __ [-syl] ( [-syl] )* [+syl] ( [-syl] )* #
#t͡ʃˈart̪ən̪əs# | Rule 265 : [-stres,-lo,+syl] > ə / __ [-syl]
#t͡ʃˈart̪ə̯n̪ə̯s# | Rule 268 : ə > ə̯ 
#t͡ʃˈart̪ɾə̯s# | Rule 289 : {n̪ ə̯;ə̯ n̪;r ə̯;ə̯ r} > {ɾ;ɾ;ɾ;ɾ} / [-cont] __ [-cons]
#t͡ʃˈart̪rə̯s# | Rule 297 : ɾ > r 
#t͡ʃˈart̪rəs# | Rule 301 : ə̯ > ə / [-cont] r __ [+cons]
#ʃˈart̪rəs# | Rule 615 : [+delrel] > [+cont,.delrel] 
#ʃˈart̪rs# | Rule 663 : ə > ∅ / r __ [+cons]
#ʃˈaɹt̪rs# | Rule 689 : r > ɹ / [-cons] __ [+cons]
#ʃˈaɹt̪r# | Rule 693 : [-son] > ∅ / __ #
#ʃˈart̪r# | Rule 703 : ɹ > r 
#ʃˈaʀt̪ʀ# | Rule 705 : r > ʀ 
#ʃaʀt̪ʀ# | Rule 706 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʃaʁt̪ʁ# | Rule 713 : ʀ > ʁ 
