Trajectory file for run 'run1'; etymon number :1033:
#sˌɑkrɑmˈen̪t̪um# >>> #sɛʁə̃mɑ̃# ( Correct : #sɛʁmɑ̃#) :
s ˌɑ k r ɑ m ˈe n̪ t̪ u m 
#sˌɑkrɑmˈɛn̪t̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#sˌɑkrɑmˈɛn̪t̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#sˌɑkrɑmˈɛn̪t̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#sˌɑkrɑmˈɛ?t̪o# | Rule 101 : [+ant,+cons] > [-voi] / __ t̪
#sˌɑxrɑmˈɛ?t̪o# | Rule 115 : [+hi,+back,-cont] > [+cont,.delrel] / [-cons] __ [+cor,+cons]
#sˌaxramˈɛ?t̪o# | Rule 190 : [+lo,+syl] > [+front,-back] 
#sˌaçramˈɛ?t̪o# | Rule 198 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#sˌaçrʲamˈɛ?t̪o# | Rule 209 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#sˌarʲamˈɛ?t̪o# | Rule 239 : [+hi,+front,-lat,-syl] > ∅ / __ rʲ
#sˌarʲamˈɛ?t̪ə# | Rule 261 : [-stres,-lo,+syl] > ə / __ #
#sˌarʲamˈɛ?t̪ə̯# | Rule 263 : ə > ə̯ 
#sˌarʲamˈɛ?t̪# | Rule 297 : ə̯ > ∅ 
#sˌajrʲamˈɛ?t̪# | Rule 344 : ∅ > j / [-cons] __ rʲ
#sˌajramˈɛ?t̪# | Rule 376 : rʲ > r 
#sˌajrəmˈɛ?t̪# | Rule 418 : a > ə / [+syl] ( [-syl] )* __ 
#sˌajrəmˈɛ̃?t̪# | Rule 493 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#sˌajrəmˈã?t̪# | Rule 541 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,.delrel] 
#sˌɛjrəmˈã?t̪# | Rule 554 : [+lo,+syl] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j [+cons]
#sˌɛjrə̃mˈã?t̪# | Rule 561 : [+syl,-front] > [+nas,+son,.delrel] / __ [+nas]
#sˌɛjrəmˈã?t̪# | Rule 576 : ə̃ > ə 
#sˌɛːrəmˈã?t̪# | Rule 579 : {ˌɛ j;ˌɛː j;ˈɛ j;ˈɛː j} > {ˌɛː;ˌɛː;ˈɛː;ˈɛː} / __ [+cons]
#sˌɛːrə̃mˈã?t̪# | Rule 588 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas,+cons]
#sˌɛːrə̃mˈãːt̪# | Rule 641 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#sˌɛːrə̃mˈãː# | Rule 661 : [-son] > ∅ / __ #
#sˌɛːʀə̃mˈãː# | Rule 672 : r > ʀ 
#sɛːʀə̃mãː# | Rule 673 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#sɛʀə̃mã# | Rule 674 : [+syl,+long] > [-long,-splng] 
#sɛʀə̃mɑ̃# | Rule 679 : {ã;ãː} > {ɑ̃;ɑ̃ː} 
#sɛʁə̃mɑ̃# | Rule 680 : ʀ > ʁ 
