Trajectory file for run 'run1'; etymon number :378:
#iˌuwen̪kˈellɑm# >>> #ʒuvɑ̃sɛl# ( Correct : #ʒuvɑ̃sɛl#) :
i ˌu w e n̪ k ˈe l l ɑ m 
#iˌuweŋkˈellɑm# | Rule 0 : n̪ > ŋ / __ [+hi,+back,-cont]
#iˌuɣʷeŋkˈellɑm# | Rule 5 : {j;w} > {ʝ;ɣʷ} / __ [+syl]
#ɪˌʊɣʷɛŋkˈɛllɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#jˌʊɣʷɛŋkˈɛllɑm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#ʝˌʊɣʷɛŋkˈɛllɑm# | Rule 28 : j > ʝ / __ [+syl]
#ʝˌʊβʷɛŋkˈɛllɑm# | Rule 50 : ɣʷ > βʷ 
#ʝˌoβʷɛŋkˈɛllɑm# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#ʝˌoβʷɛŋkˈɛllɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#ʝˌoβʷɛŋkʲˈɛllɑ# | Rule 76 : [+hi,+back,-cont] > [+front] / __ [+cont,-lo,+front]
#ʝˌoβʷɛŋcˈɛllɑ# | Rule 77 : [+back,+front] > [-back] 
#ʝˌoβɛŋcˈɛllɑ# | Rule 160 : {βʷ;ɸʷ} > {β;ɸ} 
#ʝˌoβɛŋt͡sʲˈɛllɑ# | Rule 183 : {c;ɟ} > {t͡sʲ;d͡ʒ} 
#ʝˌoβɛŋt͡sʲˈɛlla# | Rule 200 : [+lo,+syl] > [+front,-back] 
#ɟˌoβɛŋt͡sʲˈɛlla# | Rule 255 : [+hi,-syl,+cont] > [-cont,-son,-delrel,+cons,.tense] / # __ [+syl]
#d͡ʒˌoβɛŋt͡sʲˈɛlla# | Rule 258 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#d͡ʒˌoβəŋt͡sʲˈɛlla# | Rule 271 : [-stres,-lo,+syl] > ə / __ [-syl]
#d͡ʒˌoβə̯ŋt͡sʲˈɛlla# | Rule 274 : ə > ə̯ 
#d͡ʒˌoβəŋt͡sʲˈɛlla# | Rule 280 : ə̯ > ə / __ ŋ t͡sʲ
#d͡ʒˌovəŋt͡sʲˈɛlla# | Rule 438 : β > v 
#d͡ʒˌovəŋt͡sʲˈɛllə# | Rule 444 : a > ə / [+syl] ( [-syl] )* __ 
#d͡ʒˌovəŋt͡sʲˈɛlə# | Rule 492 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ;n̪ n̪} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ;n̪} 
#d͡ʒˌoveŋt͡sʲˈɛlə# | Rule 515 : ə > e / __ [+nas,+cons] [-nas,+cons] ( [-syl] )* [+syl]
#d͡ʒˌovẽŋt͡sʲˈɛlə# | Rule 518 : [+front,-hi,+syl] > [+nas,+son,.delrel] / __ [+nas,-syl]
#d͡ʒˌuvẽŋt͡sʲˈɛlə# | Rule 557 : [+round,+tense,+back] > [+hi] 
#d͡ʒˌuvɛ̃ŋt͡sʲˈɛlə# | Rule 565 : [+front,-hi,-lo,+syl,+nas] > [-tense,-cons,-lat,+cont,.delrel] 
#d͡ʒˌuvãŋt͡sʲˈɛlə# | Rule 570 : [+nas,-hi,+syl] > [+lo,+tense,-cons,-lat,+cont,.delrel] / __ [+cons]
#ʒˌuvãŋsʲˈɛlə# | Rule 631 : [+delrel] > [+cont,.delrel] 
#ʒˌuvãːsʲˈɛlə# | Rule 648 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#ʒˌuvãːsˈɛlə# | Rule 653 : {sʲ;d̪ʲ;t̪ʲ} > {s;d̪;t̪} 
#ʒˌuvãːsˈɛlə̯# | Rule 684 : ə > ə̯ / __ #
#ʒˌuvɑ̃ːsˈɛlə̯# | Rule 698 : [+lo,+long,+syl] > [+back,-front] 
#ʒˌuvɑ̃ːsˈɛl# | Rule 710 : ə̯ > ∅ 
#ʒuvɑ̃ːsɛl# | Rule 722 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ʒuvɑ̃sɛl# | Rule 723 : [+syl,+long] > [-long,-splng] 
