Trajectory file for run 'run1'; etymon number :1168:
#t̪ˌɑksoːn̪ˈɑːriɑm# >>> #t̪ɛn̪ʲijʁ# ( Correct : #t̪an̪jɛʁ#) :
t̪ ˌɑ k s oː n̪ ˈɑː r i ɑ m 
#t̪ˌɑksoːn̪ˈɑːrɪɑm# | Rule 12 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɑksoːn̪ˈɑːrjɑm# | Rule 21 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#t̪ˌɑksoːn̪ˈɑːrʝɑm# | Rule 24 : j > ʝ / __ [+syl]
#t̪ˌɑkson̪ˈɑːrʝɑm# | Rule 47 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#t̪ˌɑkson̪ˈɑrʝɑm# | Rule 48 : [+syl,+long] > [-long,-splng] 
#t̪ˌɑxson̪ˈɑrʝɑm# | Rule 53 : k > x / [-cons] __ [+cor,-voi]
#t̪ˌɑxson̪ˈɑrʝɑ# | Rule 62 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#t̪ˌɑxson̪ˈɑrʲɑ# | Rule 138 : r ʝ > rʲ 
#t̪ˌaxson̪ˈarʲa# | Rule 157 : [+lo,+syl] > [+front,-back] 
#t̪ˌaçson̪ˈarʲa# | Rule 165 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#t̪ˌaçsʲon̪ˈarʲa# | Rule 170 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲon̪ˈaːrʲa# | Rule 180 : [+prim] > [+long] / __ [+cons] [+syl]
#t̪ˌaç?on̪ˈaːrʲa# | Rule 202 : [+hi,+front,-syl,+cont] > [-cont,-son,-delrel,+cons,.tense] / [+cons] __ [+syl]
#t̪ˌaç?ən̪ˈaːrʲa# | Rule 206 : [+syl,-stres,-lo] > ə / __ ( [-syl] )* [+syl,+lo,+prim]
#t̪ˌaç?ə̯n̪ˈaːrʲa# | Rule 208 : ə > ə̯ 
#t̪ˌaç?n̪ˈaːrʲa# | Rule 220 : ə̯ > ∅ 
#t̪ˌaç?n̪ʲˈaːrʲa# | Rule 223 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaç?n̪ʲˈɛːrʲa# | Rule 246 : [+lo,+syl] > [-lo,+front,-tense,-cons,-lat,+cont,.delrel] / [+front,+cons] __ [+cons] [-cons]
#t̪ˌaç?n̪ʲˈie̯rʲa# | Rule 248 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#t̪ˌaç?n̪ʲˈie̯jra# | Rule 258 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ} > {j t̪;j d̪;j s;j z;j r} 
#t̪ˌaç?n̪ʲˈie̯jrə# | Rule 282 : a > ə / [+syl] ( [-syl] )* __ 
#t̪ˌaʝ?n̪ʲˈie̯jrə# | Rule 300 : ç > ʝ 
#t̪ˌaj?n̪ʲˈie̯jrə# | Rule 302 : ʝ > j / [-cons] __ 
#t̪ˌajðn̪ʲˈie̯jrə# | Rule 313 : [-cont,-delrel,+cor] > ð / [-cons] __ [+son,+cor]
#t̪ˌajðn̪ʲˈijrə# | Rule 365 : e̯ > ∅ / [+hi,+tense,+syl,+prim] __ j
#t̪ˌajn̪ʲˈijrə# | Rule 390 : {θ;ð} > {∅;∅} 
#t̪ˌɛjn̪ʲˈijrə# | Rule 396 : [+lo,+syl] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j [+cons]
#t̪ˌɛːn̪ʲˈijrə# | Rule 421 : {ˌɛ j;ˌɛː j;ˈɛ j;ˈɛː j} > {ˌɛː;ˌɛː;ˈɛː;ˈɛː} / __ [+cons]
#t̪ˌɛ̃ːn̪ʲˈijrə# | Rule 430 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas,+cons]
#t̪ˌɛ̃ːn̪ʲˈijrə̯# | Rule 497 : ə > ə̯ / __ #
#t̪ˌɛ̃ːn̪ʲˈijr# | Rule 504 : ə̯ > ∅ 
#t̪ˌɛːn̪ʲˈijr# | Rule 507 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#t̪ˌɛːn̪ʲˈijʀ# | Rule 514 : r > ʀ 
#t̪ɛːn̪ʲijʀ# | Rule 515 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪ɛn̪ʲijʀ# | Rule 516 : [+syl,+long] > [-long,-splng] 
#t̪ɛn̪ʲijʁ# | Rule 522 : ʀ > ʁ 
