Trajectory file for run 'run1'; etymon number :1167:
#t̪ˌɑksoːn̪ˈɑːriɑm# >>> #t̪ɛn̪ʲijʁ# ( Correct : #t̪an̪jɛʁ#) :
t̪ ˌɑ k s oː n̪ ˈɑː r i ɑ m 
#t̪ˌɑksoːn̪ˈɑːrɪɑm# | Rule 13 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɑksoːn̪ˈɑːrjɑm# | Rule 22 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#t̪ˌɑksoːn̪ˈɑːrʝɑm# | Rule 25 : j > ʝ / __ [+syl]
#t̪ˌɑkson̪ˈɑːrʝɑm# | Rule 48 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#t̪ˌɑkson̪ˈɑrʝɑm# | Rule 49 : [+syl,+long] > [-long,-splng] 
#t̪ˌɑxson̪ˈɑrʝɑm# | Rule 54 : k > x / [-cons] __ [+cor,-voi]
#t̪ˌɑxson̪ˈɑrʝɑ# | Rule 63 : m > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#t̪ˌɑxson̪ˈɑrʲɑ# | Rule 141 : r ʝ > rʲ 
#t̪ˌaxson̪ˈarʲa# | Rule 160 : [+lo,+syl] > [+front,-back] 
#t̪ˌaçson̪ˈarʲa# | Rule 168 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#t̪ˌaçsʲon̪ˈarʲa# | Rule 173 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaçsʲon̪ˈaːrʲa# | Rule 187 : [+prim] > [+long] / __ [+cons] [+syl]
#t̪ˌaç?on̪ˈaːrʲa# | Rule 210 : [+hi,+front,-syl,+cont] > [-cont,-son,-delrel,+cons,.tense] / [+cons] __ [+syl]
#t̪ˌaç?ən̪ˈaːrʲa# | Rule 214 : [+syl,-stres,-lo] > ə / __ ( [-syl] )* [+syl,+lo,+prim]
#t̪ˌaç?ə̯n̪ˈaːrʲa# | Rule 216 : ə > ə̯ 
#t̪ˌaç?n̪ˈaːrʲa# | Rule 228 : ə̯ > ∅ 
#t̪ˌaç?n̪ʲˈaːrʲa# | Rule 231 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#t̪ˌaç?n̪ʲˈɛːrʲa# | Rule 254 : [+lo,+syl] > [-lo,+front,-tense,-cons,-lat,+cont,.delrel] / [+front,+cons] __ [+cons] [-cons]
#t̪ˌaç?n̪ʲˈie̯rʲa# | Rule 256 : {ˈɛː;ˈɔː} > {ˈi e̯;ˈu o̯} 
#t̪ˌaç?n̪ʲˈie̯jra# | Rule 267 : {t̪ʲ;d̪ʲ;sʲ;zʲ;rʲ} > {j t̪;j d̪;j s;j z;j r} 
#t̪ˌaç?n̪ʲˈie̯jrə# | Rule 293 : a > ə / [+syl] ( [-syl] )* __ 
#t̪ˌaʝ?n̪ʲˈie̯jrə# | Rule 311 : ç > ʝ 
#t̪ˌaj?n̪ʲˈie̯jrə# | Rule 313 : ʝ > j / [-cons] __ 
#t̪ˌajðn̪ʲˈie̯jrə# | Rule 324 : [-cont,-delrel,+cor] > ð / [-cons] __ [+son,+cor]
#t̪ˌajðn̪ʲˈijrə# | Rule 376 : e̯ > ∅ / [+hi,+tense,+syl,+prim] __ j
#t̪ˌajn̪ʲˈijrə# | Rule 401 : {θ;ð} > {∅;∅} 
#t̪ˌɛjn̪ʲˈijrə# | Rule 407 : [+lo,+syl] > [-lo,-tense,-cons,-lat,+cont,.delrel] / __ j [+cons]
#t̪ˌɛːn̪ʲˈijrə# | Rule 432 : {ˌɛ j;ˌɛː j;ˈɛ j;ˈɛː j} > {ˌɛː;ˌɛː;ˈɛː;ˈɛː} / __ [+cons]
#t̪ˌɛ̃ːn̪ʲˈijrə# | Rule 441 : [+syl,-hi] > [+nas,+son,.delrel] / __ [+nas,+cons]
#t̪ˌɛ̃ːn̪ʲˈijrə̯# | Rule 508 : ə > ə̯ / __ #
#t̪ˌɛ̃ːn̪ʲˈijr# | Rule 515 : ə̯ > ∅ 
#t̪ˌɛːn̪ʲˈijr# | Rule 518 : [+front,-round,+syl,+nas] > [-nas] / __ [+cons,+nas] [-cons]
#t̪ˌɛːn̪ʲˈijʀ# | Rule 525 : r > ʀ 
#t̪ɛːn̪ʲijʀ# | Rule 526 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪ɛn̪ʲijʀ# | Rule 527 : [+syl,+long] > [-long,-splng] 
#t̪ɛn̪ʲijʁ# | Rule 533 : ʀ > ʁ 
