Trajectory file for run 'run1'; etymon number :1169:
#t̪ˌɑkˈuːt̪um# >>> #t̪y# ( Correct : #t̪y#) :
t̪ ˌɑ k ˈuː t̪ u m 
#t̪ˌɑkˈuːt̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɑkˈut̪ʊm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#t̪ˌɑkˈut̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#t̪ˌɑkˈut̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#t̪ˌɑkˈuːt̪o# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#t̪ˌɑɡˈuːt̪o# | Rule 132 : k > ɡ / [-cons] __ [+syl]
#t̪ˌɑɣˈuːt̪o# | Rule 134 : ɡ > ɣ / [-cons] __ [-cons]
#t̪ˌɑˈuːt̪o# | Rule 184 : ɣ > ∅ / __ [+tense,+round,+prim]
#t̪ˌaˈuːt̪o# | Rule 200 : [+lo,+syl] > [+front,-back] 
#t̪ˌaˈʉːt̪o# | Rule 219 : [+hi,+tense,+round,+syl,-nas] > [-front,-back] 
#t̪ˌaˈʉːt̪ə# | Rule 270 : [-stres,-lo,+syl] > ə / __ #
#t̪ˌaˈʉːt̪ə̯# | Rule 272 : ə > ə̯ 
#t̪ˌaˈʉːt̪# | Rule 307 : ə̯ > ∅ 
#t̪ˌaˈʉːθ# | Rule 439 : [-cont,-delrel] > [+cont,.delrel] / [-cons] __ #
#t̪ˌaˈyːθ# | Rule 502 : [+hi,+round,-back] > [+front] 
#t̪ˌaˈyː# | Rule 603 : {θ;ð} > {∅;∅} 
#t̪ˈyː# | Rule 693 : ˌa > ∅ / __ [+prim]
#t̪yː# | Rule 731 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#t̪y# | Rule 732 : [+syl,+long] > [-long,-splng] 
