Trajectory file for run 'run1'; etymon number :773:
#n̪ˈumerum# >>> #n̪ɔ̃bʁ# ( Correct : #n̪ɔ̃bʁ#) :
n̪ ˈu m e r u m 
#n̪ˈʊmɛrʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#n̪ˈomɛrom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#n̪ˈomɛro# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#n̪ˈoːmɛro# | Rule 111 : [+prim] > [+long] / __ [+cons] [-cons]
#n̪ˈoːmro# | Rule 139 : ɛ > ∅ / __ [+cor,+son,-nas] ( [-syl] )* [+syl] ( [-syl] )* #
#n̪ˈoːmbro# | Rule 143 : ∅ > b / m __ [+cor,-nas,+son,-syl]
#n̪ˈombro# | Rule 148 : [+syl] > [-long,-splng] / __ [-syl] [+cons,-son]
#n̪ˈũmbro# | Rule 164 : [+round,-hi] > [+tense,+hi,+nas,-cons,+son,-lat,+cont,.delrel] / __ [+nas,+cons]
#n̪ˈũmbrə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#n̪ˈũmbrə̯# | Rule 268 : ə > ə̯ 
#n̪ˈũmbɾə# | Rule 291 : {n̪ ə̯;ə̯ n̪;r ə̯;ə̯ r} > {ɾ ə;ɾ ə;ɾ ə;ɾ ə} / [+cons] [-cont] __ #
#n̪ˈũmbrə# | Rule 297 : ɾ > r 
#n̪ˈũːbrə# | Rule 678 : [+nas,+syl] [+nas,+cons] > [+long] ∅/ __ [+cons]
#n̪ˈũːbrə̯# | Rule 692 : ə > ə̯ / __ #
#n̪ˈũːbr# | Rule 699 : ə̯ > ∅ 
#n̪ˈũːbʀ# | Rule 710 : r > ʀ 
#n̪ũːbʀ# | Rule 711 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#n̪ũbʀ# | Rule 712 : [+syl,+long] > [-long,-splng] 
#n̪ɔ̃bʀ# | Rule 713 : [+back,-lo,+nas,+syl] > ɔ̃ 
#n̪ɔ̃bʁ# | Rule 718 : ʀ > ʁ 
