Trajectory file for run 'run1'; etymon number :293:
#frˈuːkt̪um# >>> #fʁɥi# ( Correct : #fʁɥi#) :
f r ˈuː k t̪ u m 
#frˈuːkt̪ʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#frˈukt̪ʊm# | Rule 55 : [+syl,-lo,+long] > [-long,+tense,-splng,-cons,-lat,+cont,.delrel] 
#frˈuxt̪ʊm# | Rule 61 : k > x / [-cons] __ [+cor,-voi]
#frˈuxt̪om# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#frˈuxt̪o# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#frˈuçt̪o# | Rule 208 : [+back,+hi,+cont,-son] > [-back,+front] / __ [+cor]
#frˈuçt̪ʲo# | Rule 218 : [+cor,+ant,-lat] > [+hi,+front] / [+hi,+front,+cons] __ 
#frˈʉçt̪ʲo# | Rule 219 : [+hi,+tense,+round,+syl,-nas] > [-front,-back] 
#frˈʉçt̪ʲə# | Rule 270 : [-stres,-lo,+syl] > ə / __ #
#frˈʉçt̪ʲə̯# | Rule 272 : ə > ə̯ 
#frˈʉçt̪ʲ# | Rule 307 : ə̯ > ∅ 
#frˈʉçt̪# | Rule 392 : {t̪ʲ;d̪ʲ;sʲ;zʲ;n̪ʲ;d͡zʲ} > {t̪;d̪;s;z;n̪;d͡z} / [+hi,+front,-syl] __ 
#frˈʉçt̪ʲ# | Rule 394 : {t̪;d̪;s} > {t̪ʲ;d̪ʲ;sʲ} / [-syl,+hi,+front,+cont,-strid] __ #
#frˈʉʝt̪ʲ# | Rule 460 : ç > ʝ 
#frˈʉjt̪ʲ# | Rule 466 : ʝ > j / [-cons] __ 
#frˈyjt̪ʲ# | Rule 503 : [+hi,+round,-back] > [+front] 
#frɥˈit̪ʲ# | Rule 632 : {y j;ˌy j;ˈy j} > {ɥ i;ɥ ˌi;ɥ ˈi} 
#frɥˈit̪# | Rule 668 : {sʲ;d̪ʲ;t̪ʲ} > {s;d̪;t̪} 
#frɥˈi# | Rule 730 : [-son] > ∅ / __ #
#fʀɥˈi# | Rule 741 : r > ʀ 
#fʀɥi# | Rule 742 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#fʁɥi# | Rule 750 : ʀ > ʁ 
