Trajectory file for run 'run1'; etymon number :69:
#ˈɑrkɑm# >>> #aʁʃ# ( Correct : #aʁʃ#) :
ˈɑ r k ɑ m 
#ˈɑrkɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#ˈarka# | Rule 194 : [+lo,+syl] > [+front,-back] 
#ˈarkʲa# | Rule 232 : [+hi,+back,+cons] > [+front] / __ [+front,+syl]
#ˈarca# | Rule 243 : [+back,+front] > [-back] 
#ˈart͡ʃa# | Rule 252 : [+hi,+front,-cont,-ant] > [+delrel,+cor,-hi,+strid,+distr,-son] 
#ˈart͡ʃə# | Rule 430 : a > ə / [+syl] ( [-syl] )* __ 
#ˈarʃə# | Rule 614 : [+delrel] > [+cont,.delrel] 
#ˈarʃə̯# | Rule 686 : ə > ə̯ / __ #
#ˈaɹʃə̯# | Rule 688 : r > ɹ / [-cons] __ [+cons]
#ˈaɹʃ# | Rule 693 : ə̯ > ∅ 
#ˈarʃ# | Rule 702 : ɹ > r 
#ˈaʀʃ# | Rule 704 : r > ʀ 
#aʀʃ# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#aʁʃ# | Rule 712 : ʀ > ʁ 
