Trajectory file for run 'run1'; etymon number :230:
#fˈɑkiɑm# >>> #fɑs# ( Correct : #fas#) :
f ˈɑ k i ɑ m 
#fˈɑkɪɑm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#fˈɑkjɑm# | Rule 25 : [+syl,-long,-stres,-lo] > [+hi,-syl,+tense,.stres,.prim,-cons,-lat,+cont,.delrel] / __ [+syl]
#fˈɑkʝɑm# | Rule 28 : j > ʝ / __ [+syl]
#fˈɑkʝɑ# | Rule 70 : [+nas,+cons] > ∅ / [+syl] ( [-syl] )* [+syl] __ #
#fˈɑccɑ# | Rule 74 : k [+hi,+front,-syl] > c c/ [+syl] __ [+syl]
#fˈɑt̪t͡sʲɑ# | Rule 176 : c c > t̪ t͡sʲ 
#fˈat̪t͡sʲa# | Rule 194 : [+lo,+syl] > [+front,-back] 
#fˈat̪t͡sʲə# | Rule 430 : a > ə / [+syl] ( [-syl] )* __ 
#fˈat͡sʲə# | Rule 475 : [+cor,-cont,-delrel] > ∅ / __ [+cor,-cont]
#fˈat͡sə# | Rule 526 : t͡sʲ > t͡s / [-nas] __ 
#fˈasə# | Rule 614 : [+delrel] > [+cont,.delrel] 
#fˈaːsə# | Rule 654 : [+front,-round,+syl] > [+long] / __ s ə #
#fˈɑːsə# | Rule 671 : [+lo,+long,+syl] > [+back,-front] 
#fˈɑːsə̯# | Rule 686 : ə > ə̯ / __ #
#fˈɑːs# | Rule 693 : ə̯ > ∅ 
#fɑːs# | Rule 705 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#fɑs# | Rule 706 : [+syl,+long] > [-long,-splng] 
