Trajectory file for run 'run1'; etymon number :514:
#kˌukˈullum# >>> #ku# ( Correct : #kul#) :
k ˌu k ˈu l l u m 
#kˌʊkˈʊllʊm# | Rule 15 : [+syl,-lo,-long] > [-tense,-cons,-lat,+cont,.delrel] 
#kˌokˈollom# | Rule 65 : [+hi,-tense] > [-hi,+tense,-cons,-lat,+cont,.delrel] 
#kˌokˈollo# | Rule 70 : [+nas,+cons] > ∅ / [+syl,-stres] __ #
#kˌoɡˈollo# | Rule 131 : k > ɡ / [-cons] __ [+syl]
#kˌoɣˈollo# | Rule 133 : ɡ > ɣ / [-cons] __ [-cons]
#kˌoˈollo# | Rule 181 : ɣ > ∅ / __ [+tense,+round,+prim]
#kˌoˈollə# | Rule 266 : [-stres,-lo,+syl] > ə / __ #
#kˌoˈollə̯# | Rule 268 : ə > ə̯ 
#kˌoˈoll# | Rule 302 : ə̯ > ∅ 
#kˌoˈol# | Rule 482 : {p p;b b;f f;m m;t̪ t̪;t̪ t͡s;t̪ t͡sʲ;t̪ t͡ʃ;d̪ d̪;d̪ d͡ʒ;n̪ n̪;s s;z z;l l;k k;ɡ ɡ} > {p;b;f;m;t̪;t͡s;t͡sʲ;t͡ʃ;d̪;d͡ʒ;n̪;s;z;l;k;ɡ} 
#kˌuˈul# | Rule 547 : [+round,+tense,+back] > [+hi] 
#kˌuˈu# | Rule 640 : [+lat] > ∅ / [+hi,+syl] __ #
#kˈuː# | Rule 654 : [+hi,+back,+round,+syl] [+hi,+back,+round,+syl] > ∅ [+long]
#kuː# | Rule 711 : [+stres] > [-stres,-prim,+syl,+son,.delrel] 
#ku# | Rule 712 : [+syl,+long] > [-long,-splng] 
